fixed_acidity,volatile_acidity,citric_acid,residual_sugar,chlorides,free_sulfur_dioxide,total_sulfur_dioxide,density,pH,sulphates,alcohol,wine_type,quality_score
7.36,0.61,0.39,0.44,0.1112,13.1,3.9,0.99535,3.24,0.57,14.8,white,9.0
9.49,0.259,0.23,0.2,0.0592,33.9,31.8,0.99869,3.38,1.03,12.4,red,7.3
7.13,0.314,0.36,0.54,0.079,26.7,37.8,0.99737,3.49,0.61,12.0,red,9.0
8.77,0.438,0.11,1.36,0.0914,19.9,59.9,0.995,3.32,0.53,12.8,red,9.0
8.37,0.646,0.46,5.47,0.075,11.0,43.5,0.99912,3.48,0.85,10.3,red,7.3
7.6,0.282,0.76,1.9,0.0783,25.5,81.9,0.9961,3.39,0.78,8.8,red,8.2
8.27,0.498,0.13,3.45,0.1261,39.7,80.5,0.99527,3.17,0.55,10.0,red,8.3
11.3,0.498,0.22,0.48,0.1143,14.4,90.8,0.99889,3.18,0.65,9.5,white,7.7
9.33,0.673,0.25,0.28,0.1113,4.8,39.8,0.99542,3.18,0.77,14.4,red,9.0
10.16,0.651,0.44,0.68,0.0098,5.1,29.7,0.99725,3.28,0.7,13.9,red,9.0
6.74,0.348,0.67,0.94,0.1072,16.6,1.5,0.99957,3.27,0.79,10.5,red,8.8
10.16,0.79,0.34,1.99,0.0475,14.3,89.5,0.99937,3.4,0.66,13.8,red,8.5
9.39,0.321,0.68,5.33,0.1806,30.2,8.5,0.99768,3.29,0.8,9.8,red,9.0
5.75,0.727,0.3,1.39,0.0866,9.7,16.9,0.99465,3.35,0.61,9.7,red,6.7
9.22,0.431,0.36,1.83,0.0778,14.1,53.9,0.99601,3.13,0.55,13.4,red,9.0
7.43,0.56,0.33,0.01,0.1584,9.1,36.3,1.00183,3.35,0.84,10.5,red,8.9
5.67,0.571,0.5,0.08,0.1438,24.1,94.1,0.9989,3.24,0.71,8.8,red,7.8
8.52,0.566,0.19,0.22,0.0759,6.9,21.2,0.99654,3.23,0.78,13.1,red,9.0
9.22,0.651,0.43,3.0,0.0317,13.4,47.5,0.99448,3.21,0.87,14.8,red,8.9
8.56,0.6,0.04,1.66,0.0041,0.1,14.5,0.9932,3.54,0.56,12.1,red,8.4
8.11,0.671,0.22,0.54,0.0378,10.3,87.0,0.99943,3.13,0.75,10.1,red,7.7
7.74,0.614,0.15,2.24,0.1021,33.4,8.6,0.99947,3.41,1.05,10.8,red,8.0
12.49,0.302,0.29,1.97,0.0801,34.5,128.3,0.99692,3.3,0.63,12.6,white,8.5
6.29,0.579,0.21,0.23,0.043,23.0,42.6,0.99618,3.11,0.45,13.0,red,9.0
9.78,0.429,0.49,2.56,0.0686,20.5,37.0,0.99927,3.27,0.8,14.2,red,9.0
8.33,0.33,0.1,3.64,0.1677,9.3,45.5,0.99404,2.96,0.38,14.3,white,9.0
6.85,0.478,0.06,0.84,0.1396,18.0,11.2,1.001,3.57,0.47,14.0,red,9.0
8.22,0.563,0.01,2.91,0.1694,17.6,68.1,0.99848,3.25,0.66,12.6,red,9.0
5.93,0.575,0.46,0.56,0.0546,16.1,33.1,0.99449,3.48,0.66,11.3,white,8.7
7.29,0.72,0.09,3.53,0.1249,24.4,36.2,0.99857,3.51,0.69,12.8,red,9.0
8.22,0.765,0.35,6.07,0.1201,6.0,88.8,0.99563,3.22,1.04,12.7,red,9.0
5.66,0.591,0.21,1.46,0.156,42.8,10.1,0.99433,3.31,0.67,9.8,red,9.0
9.16,0.623,0.43,0.7,0.0875,33.0,40.1,0.99857,3.34,0.56,11.7,red,8.9
6.66,0.547,0.23,1.27,0.0502,7.4,42.9,0.99479,3.6,0.55,9.8,red,9.0
5.83,0.668,0.8,0.72,0.0446,17.0,51.0,0.99433,3.28,0.58,14.2,red,9.0
6.46,0.618,0.63,0.0,0.0864,9.6,28.2,0.99797,3.3,0.45,10.5,red,9.0
12.0,0.52,0.21,2.63,0.0906,22.6,36.0,0.99679,3.1,0.76,13.6,red,9.0
4.94,0.917,0.18,0.11,0.0998,15.0,107.3,0.99902,3.18,0.71,10.9,red,7.6
9.04,0.432,0.87,0.59,0.0214,3.9,62.9,0.9964,3.24,0.74,13.4,red,9.0
7.02,0.792,0.07,3.2,0.1478,6.2,20.9,0.99622,3.51,0.8,9.8,red,6.3
7.7,0.286,0.26,2.74,0.0234,29.8,68.0,0.99293,3.59,0.77,13.4,red,9.0
9.33,0.676,0.27,0.19,0.1477,13.6,48.0,0.998,3.39,0.43,9.6,red,8.4
9.24,0.789,0.27,2.7,0.0718,13.5,70.9,0.99696,3.36,0.61,11.6,red,9.0
7.14,0.187,0.06,6.67,0.1737,22.9,39.8,0.99938,3.41,0.62,9.1,red,7.7
5.99,0.555,0.36,0.19,0.0049,25.8,19.9,0.99852,3.21,0.89,11.8,red,8.5
9.36,0.659,0.09,1.34,0.1422,15.0,8.4,0.99766,3.52,0.91,13.7,red,8.5
9.24,0.575,0.54,3.27,0.0386,6.8,84.4,0.99554,3.1,0.59,13.3,red,9.0
7.82,0.598,0.01,2.75,0.0352,7.5,69.0,0.99617,3.24,0.49,8.7,red,7.5
9.05,0.555,0.28,0.64,0.1648,6.6,58.2,0.9981,3.41,0.69,11.6,red,8.2
7.54,0.333,0.15,0.45,0.1224,1.2,67.8,0.9969,3.24,0.61,13.9,white,9.0
6.89,0.956,0.14,3.83,0.0175,16.7,87.2,0.99984,3.68,0.65,12.6,white,9.0
8.31,0.439,0.11,7.82,0.0965,16.4,8.9,0.99963,3.41,0.87,8.8,red,8.4
9.18,0.608,0.14,3.65,0.153,29.3,49.2,0.9965,3.46,0.71,10.5,red,8.1
8.83,0.414,0.55,8.26,0.1132,15.6,13.1,0.99719,3.2,0.58,12.0,white,9.0
9.17,0.12,0.26,2.32,0.0885,6.7,33.5,0.99541,3.45,0.55,9.5,red,8.4
7.01,0.364,0.52,6.62,0.1411,28.5,57.4,0.9968,3.43,0.42,12.8,red,9.0
10.99,0.269,0.2,2.93,0.1043,34.3,34.9,0.9989,3.54,0.76,12.5,red,9.0
7.72,0.726,0.39,5.99,0.009,25.5,104.5,0.99591,2.98,0.71,9.7,white,7.6
8.1,0.421,0.13,0.44,0.0915,15.2,36.9,0.99627,3.19,0.76,12.0,white,9.0
6.06,0.437,0.12,4.23,0.1098,12.7,21.2,0.99466,3.36,0.66,13.7,white,8.9
7.97,0.338,0.08,0.55,0.0975,3.4,47.6,0.99587,3.36,0.48,10.8,red,8.2
9.2,0.547,0.33,0.07,0.068,7.6,12.4,0.99823,3.3,0.67,10.0,red,7.5
9.6,0.401,0.32,1.82,0.1085,11.2,17.7,0.99652,3.08,0.85,13.0,red,9.0
10.96,0.709,0.42,0.96,0.0956,2.0,77.3,0.9947,3.34,0.67,8.9,white,8.9
9.18,0.584,0.31,0.11,0.0066,12.4,79.1,0.99742,3.36,0.94,13.8,red,9.0
8.77,0.427,0.65,9.82,0.0247,12.9,51.7,0.9969,3.31,0.7,14.5,white,9.0
7.54,0.683,0.3,2.75,0.1016,29.3,66.6,0.99924,3.3,0.99,14.7,red,9.0
7.18,0.531,0.46,5.8,0.1221,1.1,115.2,0.99673,3.45,1.01,11.2,red,9.0
9.95,0.534,0.21,17.48,0.0504,17.7,44.6,0.99501,3.29,0.51,12.5,red,8.1
9.92,0.267,0.1,1.24,0.1216,1.6,18.0,0.99893,3.12,0.55,14.0,red,9.0
6.47,0.517,0.41,0.74,0.1105,4.6,64.1,0.99506,3.52,0.58,9.9,red,8.9
9.53,0.588,0.25,0.51,0.0781,10.7,74.0,0.9944,3.51,0.37,8.6,red,8.6
9.41,0.77,0.43,1.81,0.1071,16.1,77.2,0.99492,3.3,0.74,10.9,white,9.0
6.41,0.395,0.34,2.33,0.106,29.3,84.1,0.99578,3.44,0.73,14.1,white,9.0
9.22,0.94,0.12,1.6,0.1282,13.1,79.2,0.99322,3.08,0.69,11.7,red,9.0
6.52,0.63,0.47,1.22,0.1304,10.2,63.6,0.99355,3.29,0.45,11.8,red,7.4
4.17,0.257,0.1,0.46,0.038,8.5,67.4,0.99856,3.05,0.93,12.9,red,8.2
8.03,0.378,0.39,1.46,0.0526,10.5,60.0,0.99666,3.48,0.34,12.1,red,7.8
8.74,0.786,0.51,0.22,0.1564,21.1,5.8,0.99667,3.09,0.44,8.8,red,9.0
8.1,0.754,0.2,5.01,0.1285,7.3,10.0,0.99689,3.25,0.81,12.0,white,9.0
13.17,0.533,0.49,0.12,0.117,24.3,11.8,0.99813,3.34,0.71,12.6,red,7.9
8.94,0.557,0.35,1.2,0.1243,9.9,73.5,0.99536,3.43,0.56,12.6,red,8.9
8.55,0.32,0.43,0.26,0.1405,11.5,32.1,0.99812,3.39,0.67,13.1,red,9.0
9.03,0.768,0.11,3.73,0.0933,12.9,51.0,0.99723,3.48,0.68,11.8,red,9.0
7.55,0.352,0.31,0.94,0.0692,23.4,97.9,0.99508,3.43,0.86,14.3,white,9.0
9.88,0.682,0.0,0.3,0.1134,17.1,82.2,0.99822,3.51,0.45,11.4,white,8.2
8.91,0.773,0.6,1.9,0.0858,20.3,25.0,0.99711,3.05,0.71,11.8,red,9.0
8.84,0.539,0.11,6.2,0.1598,8.1,70.5,0.99491,3.24,0.84,13.5,red,9.0
7.24,0.704,0.2,5.98,0.1591,2.6,48.3,0.99506,3.38,0.49,13.8,white,7.7
5.64,0.863,0.09,0.72,0.1289,10.3,24.9,0.99796,3.55,0.65,12.6,red,9.0
7.45,0.578,0.4,3.18,0.027,14.4,35.7,0.99903,3.23,0.65,9.2,red,8.1
8.78,0.498,0.64,0.08,0.0355,28.1,36.2,0.99757,3.6,0.39,10.6,red,7.5
7.54,0.518,0.39,0.35,0.0252,0.9,3.3,0.99878,3.36,0.71,8.5,red,7.5
8.8,0.396,0.83,1.73,0.0958,37.8,54.5,0.99947,3.2,0.72,10.3,red,8.9
7.9,0.392,0.01,0.65,0.1304,17.7,118.1,0.99655,3.14,0.91,12.1,white,9.0
9.03,0.61,0.02,4.0,0.0725,7.9,79.9,0.99733,3.42,0.66,13.6,red,9.0
6.64,0.5,0.1,6.69,0.0566,7.4,20.2,0.99834,3.21,0.73,12.2,white,8.9
8.63,0.589,0.29,0.01,0.0919,14.2,56.1,0.99471,3.27,0.91,8.7,white,8.2
7.21,0.262,0.07,0.66,0.0502,15.2,56.1,0.99907,3.33,0.55,10.1,red,7.4
5.68,0.513,0.13,1.45,0.0995,16.0,13.8,0.99973,3.34,0.46,12.2,red,9.0
8.02,0.715,0.39,2.07,0.0756,22.6,6.7,0.99552,3.6,0.68,13.0,red,8.8
10.91,0.329,0.03,6.19,0.0561,9.0,76.0,1.00274,3.37,0.63,14.0,white,9.0
5.82,0.533,0.05,5.56,0.0924,17.0,50.0,0.99859,3.22,0.64,14.7,red,9.0
8.5,0.196,0.19,2.53,0.1287,12.4,30.8,0.99669,3.2,0.59,14.2,white,9.0
9.66,0.295,0.21,0.74,0.0156,33.2,66.3,0.99285,3.56,0.52,11.4,red,9.0
12.21,0.675,0.46,3.82,0.0949,3.1,116.2,0.99682,3.23,0.82,13.3,white,9.0
7.46,0.474,0.1,0.57,0.0117,38.4,55.0,0.99784,3.4,0.66,10.0,white,8.4
7.23,0.858,0.13,8.39,0.075,6.6,56.1,0.99762,3.34,1.04,8.8,red,6.6
6.32,0.608,0.38,0.01,0.1197,4.5,45.8,0.99438,3.37,0.48,8.8,red,6.8
10.24,0.626,0.42,2.11,0.135,12.8,33.6,0.99568,3.52,1.0,10.0,red,8.7
6.83,0.336,0.54,0.23,0.0623,18.2,73.4,0.99836,3.35,0.71,8.6,red,7.9
7.67,0.461,0.36,1.31,0.0618,12.1,40.2,0.99819,3.43,0.66,13.9,red,8.4
5.16,0.398,0.29,2.52,0.0762,22.2,62.9,0.99888,3.36,0.47,11.6,white,9.0
9.8,0.338,0.38,2.92,0.0352,11.2,95.9,0.99724,3.24,0.55,13.7,white,9.0
10.27,0.65,0.22,3.85,0.0946,9.1,71.0,0.99694,3.38,0.87,14.5,red,9.0
9.74,0.686,0.22,2.25,0.0399,6.2,4.6,0.99802,3.21,0.21,14.9,red,9.0
5.57,0.602,0.07,0.72,0.1132,29.1,2.7,0.99719,3.14,0.35,14.5,red,8.9
9.33,0.381,0.44,5.5,0.0533,19.9,87.7,0.99394,3.4,0.39,13.1,red,9.0
5.46,0.59,0.31,4.17,0.072,3.8,42.8,1.00004,3.38,0.86,11.3,red,9.0
8.4,0.186,0.42,0.44,0.1105,11.2,55.1,0.99884,3.36,0.78,12.3,white,8.9
8.65,0.768,0.27,4.38,0.1169,2.0,20.4,0.99785,3.31,0.49,13.7,white,8.3
8.83,0.296,0.26,9.0,0.1147,44.5,66.8,0.99426,3.3,0.58,14.2,white,9.0
9.21,0.328,0.11,2.53,0.0994,17.8,108.6,0.99868,3.15,0.68,14.6,red,9.0
8.29,0.551,0.56,0.83,0.0359,5.0,51.5,0.99612,3.03,0.83,13.1,red,9.0
4.96,0.567,0.39,2.33,0.0855,1.6,67.8,0.99866,3.44,0.49,11.9,white,8.8
9.21,0.517,0.31,1.05,0.0788,2.8,87.5,0.99809,3.44,0.68,14.7,red,9.0
8.47,0.33,0.19,2.82,0.0672,19.0,101.8,0.99632,3.27,0.6,14.6,white,9.0
6.77,0.734,0.35,1.97,0.0905,1.9,24.2,0.9991,3.53,0.64,11.5,red,8.5
5.63,0.227,0.09,6.63,0.0465,1.6,60.1,0.99462,3.38,0.51,12.6,white,9.0
10.92,0.263,0.25,2.41,0.0854,13.3,88.5,0.99711,3.36,0.7,13.7,white,9.0
10.39,0.511,0.16,0.6,0.0729,15.0,97.6,1.00032,3.61,0.53,11.2,red,8.1
9.5,0.302,0.7,3.23,0.0655,10.1,32.6,0.99797,3.12,0.68,13.8,red,9.0
7.15,0.75,0.55,0.89,0.0345,11.5,24.5,0.99883,3.3,0.93,9.1,red,8.1
4.02,0.318,0.47,0.79,0.0333,0.8,41.4,0.99716,3.18,0.84,11.5,red,7.2
9.6,0.81,0.01,1.24,0.1501,20.6,35.9,0.99696,3.25,0.9,11.5,red,9.0
8.92,0.716,0.43,0.03,0.0924,5.1,37.3,0.99456,3.3,0.71,12.9,red,8.9
7.66,0.752,0.31,8.7,0.1722,14.2,60.1,0.99669,3.3,0.85,9.2,white,8.4
10.21,0.87,0.5,1.9,0.1745,34.6,28.7,0.99835,3.15,0.35,9.1,red,8.0
9.74,0.545,0.33,3.71,0.1448,12.1,97.8,0.99481,3.32,0.37,14.3,red,9.0
8.6,0.348,0.27,0.75,0.0268,1.2,33.2,0.99507,3.19,0.49,10.4,white,7.5
8.36,0.511,0.31,3.43,0.1533,14.7,26.7,0.99784,3.49,0.5,10.5,red,7.6
8.39,0.428,0.07,2.09,0.0811,12.7,8.0,0.99865,3.42,0.84,13.4,white,8.5
9.46,0.402,0.12,1.38,0.074,17.8,87.9,1.00103,3.36,0.4,11.1,red,9.0
6.84,0.557,0.34,8.82,0.0672,17.7,3.9,0.99645,3.24,0.43,13.8,white,8.1
9.02,0.474,0.49,1.7,0.0705,26.0,61.5,0.99651,3.33,0.64,11.0,white,8.2
6.73,0.395,0.17,2.68,0.1058,10.6,69.4,0.99866,3.42,0.68,13.3,white,9.0
10.57,0.486,0.26,0.04,0.1951,7.1,49.5,0.99814,3.26,0.81,11.8,white,8.2
9.2,0.629,0.03,0.9,0.01,7.4,3.4,0.99648,3.07,0.61,14.5,red,9.0
7.13,0.702,0.55,5.49,0.1783,9.0,34.1,0.99694,3.42,0.63,10.5,red,8.9
8.44,0.241,0.48,3.56,0.1579,18.9,108.8,0.99574,3.39,0.81,10.8,red,9.0
6.85,0.475,0.39,1.92,0.0786,1.4,34.1,0.99469,3.36,0.51,14.7,red,9.0
10.86,0.505,0.35,5.76,0.0636,6.0,29.9,0.99673,3.2,0.68,13.2,red,9.0
11.06,0.317,0.56,1.66,0.0237,16.4,21.8,1.00005,3.45,0.76,13.4,white,9.0
9.48,0.508,0.12,2.09,0.0443,28.6,21.3,0.99556,3.48,0.6,10.3,red,7.7
10.95,0.557,0.1,1.2,0.0585,6.6,25.6,0.99413,3.35,0.81,11.9,white,8.7
8.56,0.623,0.47,2.42,0.0822,19.6,24.4,0.99499,3.25,0.51,10.4,white,8.8
9.6,0.544,0.46,0.96,0.0856,13.7,23.0,0.99806,3.25,0.93,10.1,red,8.5
10.38,0.371,0.04,1.22,0.1228,21.2,22.9,0.99786,3.25,0.61,11.9,red,8.7
8.29,0.892,0.17,8.48,0.1176,16.5,34.0,0.99954,3.24,0.59,14.8,red,9.0
8.42,0.679,0.59,0.3,0.0982,16.2,77.8,0.99912,3.26,0.41,9.8,red,6.2
9.89,0.629,0.35,0.28,0.0849,42.7,9.6,0.9976,3.36,0.47,10.0,red,9.0
9.4,0.711,0.42,0.11,0.1407,46.7,25.2,0.9983,3.44,0.52,10.0,white,9.0
7.02,0.574,0.05,0.96,0.1265,13.1,29.4,0.9955,3.53,0.47,13.5,red,9.0
4.58,0.762,0.39,1.27,0.1079,6.3,46.5,0.99838,3.17,0.46,11.7,red,7.4
8.0,0.54,0.0,0.25,0.0679,18.4,21.4,0.99678,3.2,0.67,10.9,red,8.8
4.74,0.53,0.11,1.99,0.139,22.2,114.8,0.9987,3.44,0.76,13.9,red,9.0
6.62,0.644,0.41,2.19,0.1262,29.8,65.7,0.99784,3.17,0.71,10.3,white,7.1
6.81,0.814,0.54,3.48,0.0754,7.7,78.6,0.99605,3.14,0.12,10.9,white,8.0
7.33,0.802,0.22,9.32,0.0031,11.6,54.3,0.9948,3.17,0.48,8.9,white,9.0
9.69,0.637,0.17,2.41,0.0915,10.6,92.7,0.996,3.28,0.85,9.2,red,9.0
10.06,0.623,0.6,0.3,0.0545,7.4,8.9,0.99737,3.56,0.43,9.3,red,8.3
9.16,0.655,0.23,0.23,0.1207,0.2,28.2,0.99537,3.29,0.64,10.7,red,8.8
9.38,0.707,0.26,3.76,0.0971,13.5,19.6,0.99669,3.35,0.47,11.8,red,8.6
9.42,0.764,0.59,2.63,0.0084,23.3,40.9,0.99918,3.13,0.88,8.4,red,7.9
4.06,0.487,0.2,0.44,0.1009,2.8,98.6,0.99935,3.47,0.52,9.6,red,8.1
8.32,0.767,0.15,0.73,0.1676,16.8,118.9,0.99796,3.44,0.78,9.5,red,8.2
5.25,0.592,0.42,3.47,0.0798,20.3,77.9,0.99973,3.24,0.54,10.0,red,6.9
9.17,0.647,0.13,2.09,0.0866,33.2,43.3,0.99447,3.21,0.25,9.5,white,6.0
4.74,0.779,0.24,2.2,0.0709,22.6,83.3,0.9996,3.45,0.74,9.7,red,7.5
7.99,0.664,0.02,0.59,0.0904,15.0,95.3,0.99428,3.28,0.33,14.8,red,9.0
9.23,0.695,0.31,2.48,0.1594,19.2,85.2,0.99702,3.21,0.5,12.3,white,9.0
6.4,0.46,0.28,3.68,0.1366,23.9,42.1,0.99537,3.26,0.98,13.4,white,9.0
9.93,0.8,0.45,5.41,0.0599,17.2,43.0,0.99848,3.35,1.19,13.7,white,9.0
9.16,0.655,0.43,3.34,0.0836,24.2,24.8,0.99387,3.42,0.66,12.7,red,9.0
8.95,0.553,0.37,2.15,0.0866,12.4,38.4,0.99347,3.36,0.51,13.0,red,9.0
9.49,0.728,0.34,2.8,0.1063,28.5,20.2,0.99569,3.35,0.66,12.5,red,9.0
7.69,0.996,0.26,1.66,0.1072,10.5,44.4,0.99555,3.27,0.44,12.6,red,7.9
8.56,0.32,0.39,0.64,0.0825,8.7,45.7,0.99586,3.33,0.59,14.4,white,9.0
8.32,0.385,0.06,5.35,0.0285,11.0,18.1,0.99565,3.25,0.93,9.6,white,8.3
8.28,1.013,0.18,1.9,0.0816,5.7,134.8,0.99837,3.27,0.7,10.2,red,9.0
7.16,0.607,0.49,2.26,0.07,23.8,56.2,0.99683,3.52,0.42,9.0,red,8.7
6.19,0.564,0.4,11.54,0.0448,0.6,89.0,1.0001,3.32,0.73,13.8,red,9.0
7.73,0.509,0.25,10.5,0.1241,11.3,86.0,0.99746,3.25,0.37,11.3,white,9.0
7.63,0.748,0.47,2.21,0.0879,19.3,110.4,0.99876,3.21,0.34,14.3,red,9.0
7.05,1.0,0.13,0.09,0.0385,16.0,16.7,0.99816,2.98,0.79,11.1,red,7.5
9.75,0.41,0.14,1.26,0.1801,15.5,28.6,0.9952,3.62,0.53,11.3,red,9.0
6.31,0.513,0.11,6.92,0.1066,14.4,13.2,0.99596,3.64,0.93,11.3,red,9.0
8.01,0.467,0.38,0.85,0.1242,17.6,6.7,0.99899,3.4,0.48,12.4,red,9.0
10.28,0.662,0.03,18.05,0.1363,5.4,13.3,0.99345,3.15,0.87,13.4,red,9.0
9.85,0.75,0.12,0.22,0.0665,10.9,41.5,0.99797,3.72,0.94,10.7,red,8.0
10.37,0.822,0.33,2.1,0.1126,13.2,43.4,0.99664,3.1,0.69,12.5,red,8.6
7.3,0.668,0.04,1.81,0.0037,20.7,151.0,0.99551,3.37,0.61,9.7,white,7.1
9.63,0.983,0.14,0.74,0.1322,25.8,63.1,0.99647,3.05,0.56,12.0,white,7.6
6.49,0.427,0.15,7.42,0.0838,14.5,78.4,1.00024,2.98,0.57,12.0,red,8.9
7.83,0.38,0.39,2.41,0.1118,23.6,51.2,0.99355,3.34,0.39,14.2,red,9.0
7.99,0.794,0.14,0.65,0.0837,16.8,3.3,0.99456,3.36,0.77,14.2,red,8.2
7.32,0.552,0.06,1.21,0.1724,15.2,56.3,0.99312,3.33,0.76,11.6,red,9.0
7.68,0.282,0.02,3.19,0.1445,24.1,6.6,0.99612,3.53,0.62,8.6,red,9.0
7.46,0.473,0.19,0.88,0.0357,0.7,40.6,0.99575,3.3,0.67,13.9,red,9.0
6.63,0.576,0.03,5.29,0.113,20.5,67.8,0.99732,3.43,0.58,8.4,white,8.2
9.76,0.414,0.64,0.45,0.0737,8.7,27.2,0.99604,3.19,0.45,11.5,red,9.0
7.99,0.347,0.18,0.77,0.1148,26.8,52.8,0.9979,3.5,0.44,8.5,red,6.7
8.64,0.493,0.18,0.39,0.1142,9.0,26.7,0.99542,3.52,0.56,10.7,red,7.4
8.58,0.338,0.29,0.28,0.0521,12.6,10.1,1.00119,3.27,0.59,12.5,red,9.0
8.39,0.644,0.12,0.89,0.0816,0.5,62.6,0.99823,3.37,0.86,10.8,red,9.0
8.46,0.18,0.31,17.76,0.0391,19.8,80.9,0.99803,3.21,0.77,14.4,red,9.0
7.78,0.546,0.12,0.25,0.1568,11.5,80.8,0.99825,3.28,0.92,12.6,red,9.0
10.71,0.624,0.56,0.6,0.1024,10.3,38.6,0.99491,3.42,0.78,12.6,red,8.7
9.59,0.514,0.06,0.79,0.1073,16.2,25.1,0.99651,3.38,0.39,10.8,white,9.0
8.33,0.727,0.18,2.41,0.1013,1.6,49.4,0.99659,3.05,0.41,8.7,white,8.3
7.54,0.283,0.02,3.42,0.0372,8.6,88.3,0.99606,3.14,0.48,13.2,white,9.0
8.1,0.404,0.34,3.49,0.1167,13.9,3.2,0.99631,3.22,0.6,13.1,red,9.0
9.01,0.471,0.25,0.02,0.1709,31.3,105.1,0.99866,3.34,0.53,11.8,red,8.6
10.85,0.658,0.41,2.64,0.0139,17.8,21.2,0.99688,3.17,0.78,11.1,red,8.6
5.97,0.569,0.37,2.49,0.0908,20.1,59.6,0.9976,3.1,0.86,11.9,white,9.0
9.42,0.916,0.15,1.82,0.1227,16.6,73.8,0.99362,2.92,0.45,13.3,red,8.1
10.22,0.385,0.18,1.19,0.0518,51.7,94.8,0.9935,3.62,0.38,13.0,red,9.0
5.77,0.279,0.2,3.99,0.1214,25.3,61.6,0.99511,3.34,0.94,12.7,white,9.0
7.99,0.852,0.63,1.05,0.0891,5.4,35.8,1.00028,3.09,0.7,14.3,red,9.0
6.49,0.272,0.4,0.65,0.0535,18.2,52.0,1.00102,3.46,0.57,12.4,white,9.0
9.03,0.653,0.63,0.93,0.0309,27.3,24.0,0.99897,3.53,0.93,8.5,white,7.8
7.69,0.354,0.43,1.45,0.0823,0.7,19.0,0.99621,3.34,0.87,12.4,white,8.1
8.08,0.158,0.26,0.6,0.0836,17.0,38.5,0.99785,3.4,0.56,12.4,red,9.0
7.6,0.463,0.08,2.34,0.1488,10.3,62.7,0.99952,3.51,0.81,8.9,red,9.0
9.52,0.692,0.31,5.39,0.1029,6.9,80.2,1.00071,3.4,0.86,11.2,red,9.0
8.69,0.31,0.26,2.26,0.0621,29.9,30.5,0.9947,3.4,0.8,12.6,red,9.0
8.69,0.634,0.25,1.48,0.0131,8.9,95.1,0.99741,3.08,0.88,13.0,red,9.0
8.57,0.667,0.23,3.98,0.1281,9.0,41.0,0.99635,2.9,0.5,14.2,red,9.0
9.27,0.301,0.12,3.45,0.0925,6.4,62.2,0.99817,3.44,0.66,13.9,red,9.0
7.85,0.489,0.51,1.14,0.0685,4.5,71.0,0.9971,3.28,0.94,9.2,red,7.1
11.19,0.814,0.26,2.32,0.0616,10.2,48.3,0.995,3.24,0.59,12.4,red,9.0
