CO_sensor,NMHC,NOx,NO2,O3_sensor,temp_C,humidity,abs_humidity,CO_level
1955.3,121.1,10.8,61.8,670.4,5.5,33.4,1.593,2.224
891.1,201.3,34.1,157.9,365.6,18.2,24.8,0.778,3.604
544.7,,160.6,106.7,1749.9,13.5,53.4,1.967,6.639
824.5,229.2,168.1,111.5,1021.8,30.9,26.4,1.095,8.187
1308.9,200.1,236.9,57.6,611.0,14.9,52.2,1.225,7.916
1986.8,308.1,7.3,89.9,730.9,25.2,76.9,0.972,4.104
1064.5,263.2,176.7,202.9,594.4,15.6,30.7,0.918,7.376
1191.4,164.4,345.1,154.6,1611.3,27.8,28.4,1.811,11.31
908.3,425.0,272.9,47.4,920.0,17.4,37.2,1.84,8.508
1061.5,371.8,96.7,82.1,659.4,21.6,25.8,0.813,6.215
1496.8,233.5,301.5,30.5,1301.1,17.6,45.5,0.559,9.487
1323.2,58.5,335.2,134.9,168.1,23.3,62.6,0.916,10.698
977.1,108.2,343.2,46.8,876.5,10.3,53.0,1.737,9.878
1101.0,132.4,281.0,123.1,558.8,26.3,70.4,1.247,10.541
852.8,273.2,47.1,99.0,694.9,2.5,28.4,1.683,2.76
1475.8,149.3,414.6,79.7,1037.0,22.4,43.8,1.75,12.542
1742.9,203.3,217.6,87.8,501.9,9.2,49.2,1.729,7.488
652.2,85.2,110.6,87.8,1052.7,23.7,52.2,1.374,7.189
683.4,319.9,326.8,42.4,545.0,28.6,24.8,0.756,11.386
856.7,395.6,143.3,142.5,406.5,6.7,24.5,1.447,5.138
1342.5,,243.0,102.7,635.7,9.3,25.9,0.955,7.45
829.3,62.5,348.0,162.0,1154.1,10.3,29.8,1.646,10.965
1375.5,22.6,96.6,20.1,1112.6,29.8,20.0,0.807,7.259
372.6,531.5,154.1,148.2,764.2,6.4,41.1,1.469,5.783
970.6,314.1,180.8,71.9,915.2,12.1,48.8,0.629,6.801
1053.3,144.1,134.3,77.3,1493.5,2.9,58.4,1.703,4.403
626.7,29.8,208.0,151.3,1260.8,21.7,21.9,0.972,8.318
943.7,53.7,310.5,156.1,672.4,21.5,51.2,1.959,10.267
1443.9,310.9,256.8,175.8,237.7,0.5,85.7,1.19,6.865
943.5,,25.2,98.0,1144.4,29.5,72.6,0.886,5.109
1167.2,241.6,24.3,86.9,745.2,22.2,42.5,0.688,5.081
1567.7,429.4,121.7,168.4,229.1,9.5,56.8,1.98,4.996
635.8,52.2,61.2,133.9,952.1,4.5,68.9,1.1,2.482
1103.7,24.2,59.5,112.4,1063.1,32.8,30.8,1.501,6.55
138.5,255.2,54.9,2.5,554.2,22.0,25.0,0.982,4.997
443.5,108.5,378.2,83.8,1448.4,19.0,63.3,0.839,11.645
1299.3,118.3,256.2,78.1,877.1,27.7,71.6,1.357,9.534
786.9,316.8,131.8,86.7,1017.7,20.1,56.0,1.094,6.262
1115.4,299.7,197.0,59.9,482.2,10.4,68.7,1.222,7.005
395.5,82.1,242.3,80.2,915.4,-0.2,70.3,1.558,6.992
83.4,42.1,74.5,173.8,727.0,31.0,65.1,0.924,6.835
718.8,137.4,191.6,146.8,1645.6,28.0,85.6,0.731,8.397
769.7,376.0,159.7,122.8,708.9,16.7,57.5,1.306,6.769
858.4,174.9,187.3,117.0,825.8,19.1,24.0,0.674,8.664
1586.9,128.5,274.9,49.0,446.0,25.8,59.6,1.514,10.021
179.7,276.7,264.6,126.4,1403.6,14.7,64.8,1.387,9.447
707.7,28.0,192.8,128.0,705.6,12.4,43.9,0.852,6.824
853.5,124.6,10.7,100.4,388.9,14.0,53.1,0.904,3.92
943.1,63.7,231.2,36.3,1117.2,19.6,73.9,0.779,9.265
1396.7,220.5,327.9,171.9,1133.2,27.0,70.3,1.837,11.959
976.1,133.3,322.7,92.9,654.5,9.0,32.4,0.978,8.425
1318.4,228.2,173.2,120.7,447.3,14.8,36.7,1.866,7.845
1474.9,51.6,221.5,140.6,844.4,-0.8,59.9,0.534,6.113
443.7,405.4,143.9,25.1,698.5,35.1,47.3,1.089,8.14
1450.5,138.2,271.9,176.1,741.8,17.2,72.5,1.857,8.931
921.7,265.7,112.1,36.2,1045.5,29.2,27.1,1.575,8.217
1019.0,131.5,101.8,92.7,1106.2,8.4,42.8,0.591,4.768
1058.6,312.9,166.7,172.9,895.8,28.8,45.7,1.242,8.141
1166.6,267.9,164.5,38.9,458.7,27.2,50.1,0.691,8.043
409.4,154.2,39.0,83.5,140.0,8.2,73.6,0.713,3.679
374.0,26.7,160.5,140.8,863.4,17.0,21.3,1.166,7.211
795.5,238.2,0.4,162.8,151.0,8.5,30.1,1.813,2.485
1243.3,126.2,171.5,33.9,618.0,20.8,58.6,1.046,7.67
1513.7,249.1,536.2,45.6,966.4,31.0,54.1,1.527,15.0
727.6,325.5,285.5,89.1,959.4,22.5,86.6,0.841,9.488
1342.9,51.2,21.2,130.7,810.0,19.1,23.9,1.105,4.415
914.5,81.3,189.6,92.5,897.6,28.7,40.8,0.673,9.001
1132.1,347.7,259.3,100.4,1030.8,16.5,74.5,0.702,9.807
759.7,152.2,0.4,91.4,388.8,27.4,87.3,1.48,4.233
1055.3,115.6,237.2,106.9,510.4,5.8,89.6,0.518,7.867
631.2,186.8,171.8,117.2,1051.0,23.1,40.4,1.571,7.142
1037.7,57.2,165.6,128.0,984.5,22.1,61.7,1.796,6.968
1346.8,161.0,80.0,179.9,747.1,12.2,87.0,0.881,4.794
838.7,37.8,178.5,118.1,1199.2,11.4,88.4,1.811,7.273
1100.3,154.5,374.1,133.1,1358.3,7.0,28.2,1.599,10.24
1147.6,,,138.5,618.8,12.6,44.8,1.736,7.086
1444.0,,324.2,140.2,1199.2,29.0,71.4,1.68,11.81
253.8,97.0,180.2,117.0,744.8,19.4,59.1,0.502,7.654
1281.3,480.0,220.4,182.3,244.3,15.6,60.3,1.518,8.578
564.7,159.4,393.1,4.2,929.3,9.1,50.1,1.174,10.941
527.8,324.5,166.5,95.6,1226.9,25.5,79.1,1.983,9.154
741.8,265.7,189.7,116.0,654.0,26.4,24.5,1.371,8.419
625.5,21.3,276.0,69.2,1297.8,23.9,36.0,1.406,10.193
1082.0,27.0,37.0,171.4,799.9,8.5,69.2,1.999,3.409
613.6,230.2,325.0,3.0,1122.9,18.8,77.4,0.902,9.81
1230.5,41.2,132.7,81.3,1133.4,20.8,87.9,1.656,5.728
144.4,379.9,117.2,13.5,897.7,19.4,40.7,0.583,5.081
1425.5,89.0,15.1,79.4,1618.3,1.6,35.4,1.238,2.379
378.7,315.9,24.9,59.8,1371.8,21.2,38.1,1.444,5.553
1162.0,226.6,235.1,115.1,257.0,1.5,37.5,0.81,7.32
678.2,245.6,343.5,214.5,147.1,32.3,53.4,1.212,12.29
830.4,27.7,60.8,167.1,1036.3,8.7,39.9,1.185,3.898
650.0,366.5,268.2,30.8,100.2,30.0,29.7,0.922,10.975
150.3,617.1,,123.6,859.8,16.5,23.8,1.412,7.709
814.9,36.6,26.5,74.4,1246.8,17.7,37.9,1.516,3.54
510.3,338.2,111.3,144.2,1063.5,18.9,77.2,0.631,6.569
429.7,150.8,279.1,139.0,679.5,17.1,79.1,0.732,8.978
830.5,10.8,26.5,169.9,1297.1,0.4,61.4,1.936,2.639
887.6,61.9,15.4,180.7,797.7,15.3,47.7,0.559,3.283
1033.4,22.1,81.9,151.6,902.0,14.1,38.7,0.663,6.035
1197.9,4.0,74.8,92.2,770.4,3.9,22.8,1.719,3.338
517.5,82.4,439.5,91.2,1088.5,11.8,89.3,1.713,12.459
443.5,370.3,205.2,34.1,491.8,17.6,46.7,1.931,8.484
1302.4,148.2,357.8,119.4,830.8,8.7,46.1,1.799,10.275
870.3,232.6,168.3,123.0,1072.6,16.9,47.8,0.825,7.209
1785.9,80.5,224.1,12.0,1578.7,16.9,74.4,1.521,7.83
179.0,390.3,313.5,156.6,1099.1,15.8,66.1,0.797,9.765
1133.6,43.6,21.3,85.9,135.1,12.2,86.0,1.737,3.078
674.4,409.5,28.9,47.3,1072.6,16.6,25.2,1.283,4.507
689.1,239.6,260.2,110.2,692.6,16.7,87.3,1.196,9.11
781.1,41.1,193.2,28.7,1149.1,6.5,61.3,1.251,6.172
1536.0,223.1,259.6,65.8,393.1,18.9,85.1,0.536,9.212
329.5,143.9,54.4,56.3,552.9,27.5,73.5,1.574,5.893
323.5,,159.9,56.8,793.1,11.1,89.0,0.751,5.914
1246.4,63.5,388.6,48.1,813.3,22.2,34.9,0.706,11.987
1681.8,,91.9,88.5,1153.3,10.1,56.4,0.952,6.004
707.2,391.6,310.1,142.3,1130.8,17.5,85.7,1.234,9.698
1433.9,58.7,237.5,48.0,525.1,11.6,29.6,1.264,7.131
1349.1,171.9,61.2,66.1,1363.6,7.1,74.6,1.486,3.349
1112.5,145.2,355.7,48.4,963.2,15.3,84.0,0.599,10.565
1073.1,317.7,366.7,143.0,524.3,19.1,46.2,1.008,11.503
849.0,165.5,20.7,80.8,105.2,18.8,51.0,0.867,3.802
1362.1,,296.0,119.7,1341.7,11.1,78.2,1.104,9.188
1265.9,60.2,120.1,78.8,691.1,11.3,59.6,1.264,5.321
770.7,41.1,,174.5,648.4,22.9,53.5,1.774,7.849
365.6,21.7,128.7,91.5,1143.7,10.1,39.2,1.791,4.714
686.8,,124.7,155.8,451.4,19.4,57.5,1.302,6.292
574.1,18.3,49.3,145.2,718.9,7.8,46.3,1.679,3.191
977.7,485.9,163.0,82.9,659.5,12.6,53.0,1.106,6.606
1192.0,322.6,28.2,65.4,857.6,-1.0,79.5,1.982,2.449
1155.8,84.2,41.4,77.6,1065.4,19.4,79.2,0.689,5.812
1184.1,607.4,39.3,83.7,1171.0,15.1,21.5,0.715,3.976
1077.3,76.8,351.4,169.8,1087.1,12.9,58.2,0.94,10.795
991.3,127.2,153.6,149.8,1351.7,26.9,86.6,0.656,7.807
974.9,349.0,247.3,119.9,630.7,10.8,51.2,0.508,8.598
1493.9,21.8,225.9,73.5,1014.2,24.0,27.7,0.99,9.943
804.5,399.9,73.0,57.9,722.3,19.6,20.8,0.569,5.332
912.4,127.2,234.2,27.1,849.7,29.3,48.6,1.374,9.414
135.2,19.7,189.4,82.6,843.6,30.3,81.4,1.753,8.849
782.6,42.6,62.5,71.3,396.4,12.3,82.5,0.773,3.353
879.6,264.2,156.6,163.2,965.7,23.2,66.3,1.401,7.502
1478.5,53.6,442.5,125.0,923.6,36.4,86.7,0.863,13.965
465.5,41.6,10.3,97.9,897.0,21.9,25.1,1.294,4.127
949.0,282.2,106.0,140.9,782.4,14.8,45.9,1.302,5.358
940.7,384.9,249.0,163.9,136.7,4.8,75.5,0.577,7.86
1255.3,91.0,,91.8,939.5,1.5,78.8,1.895,5.819
813.6,49.2,137.0,91.4,1094.4,5.2,26.4,0.766,5.029
1243.3,440.6,340.2,30.6,1489.6,36.8,61.1,1.364,12.192
1102.5,120.6,106.5,170.0,1027.7,17.6,66.6,1.187,5.659
695.6,233.7,330.1,148.2,1833.8,19.4,35.5,1.706,11.312
555.6,,32.5,72.3,906.3,12.7,22.3,1.065,3.638
1836.3,73.1,383.9,148.2,979.1,21.8,21.4,1.594,12.369
783.4,55.6,506.6,17.6,825.6,16.8,45.1,1.661,13.562
322.9,316.8,91.6,76.0,721.1,8.4,28.9,0.748,3.024
817.9,387.9,397.1,102.6,1102.3,3.0,60.0,1.509,9.067
731.5,,151.7,115.1,1342.0,0.4,37.5,1.155,4.677
532.9,71.7,121.1,146.0,1084.9,13.4,43.7,1.932,6.248
983.4,396.0,29.6,57.1,980.6,14.1,44.1,1.982,3.792
1075.3,529.8,11.4,128.2,773.6,22.3,85.2,1.551,3.949
193.1,264.1,287.5,140.1,885.2,29.1,80.3,1.346,10.532
1050.3,219.6,116.8,88.2,891.9,9.8,65.4,0.976,5.622
1293.8,535.5,115.5,76.9,987.5,13.2,31.0,0.894,5.161
613.7,199.6,309.1,38.8,938.4,32.4,25.4,1.219,11.446
464.0,200.0,208.8,70.3,581.6,29.0,44.9,1.303,8.646
586.6,56.8,100.5,0.1,1399.0,2.8,60.0,1.318,4.922
792.0,290.3,352.0,89.7,1599.6,30.7,70.7,1.713,13.077
974.6,25.8,272.7,104.9,887.0,11.1,21.7,1.765,8.799
533.8,66.2,254.7,85.1,933.6,14.4,33.6,1.03,8.056
821.8,95.9,101.5,78.1,1111.4,22.5,50.7,1.267,5.959
899.7,,210.8,97.0,638.4,13.0,45.2,1.636,7.425
1043.8,92.5,284.0,109.7,1081.8,11.8,52.1,1.808,7.879
400.5,329.4,79.5,127.8,736.4,12.3,42.9,0.725,5.254
660.3,42.2,100.1,25.4,779.6,26.9,61.2,1.62,5.635
685.1,83.4,,77.3,464.7,11.7,80.6,1.879,5.915
1603.6,173.9,145.2,26.4,754.2,14.7,25.7,0.876,5.943
1384.5,188.2,303.8,76.7,978.5,17.4,40.5,1.233,9.181
930.8,298.6,,151.8,1508.3,3.6,38.6,0.504,6.474
357.3,,51.0,110.1,812.8,18.8,58.1,1.734,4.893
1305.5,161.5,102.3,80.1,720.2,26.1,82.5,1.764,6.69
1425.5,,332.3,63.6,1056.0,17.1,77.4,1.871,10.669
922.2,279.0,433.7,75.8,1310.7,13.4,83.2,1.595,13.081
760.6,,309.4,70.1,1383.9,9.3,34.9,1.008,8.692
673.9,315.4,166.5,116.7,399.2,13.7,44.0,0.771,6.662
1227.1,154.4,442.0,54.1,934.2,15.5,39.3,1.007,12.857
1202.4,,,78.3,1539.1,6.6,58.2,0.841,5.69
527.3,681.4,4.5,66.8,464.1,8.8,67.0,0.662,3.294
613.9,352.1,289.0,40.9,977.2,11.2,49.1,1.199,8.353
526.3,288.0,293.2,23.1,999.0,6.7,41.5,0.806,8.611
1660.2,153.2,221.8,97.8,422.5,18.3,64.2,0.598,8.289
1060.1,,233.5,34.9,1088.8,21.9,54.9,1.334,8.712
1391.7,56.3,4.8,95.0,1112.8,13.0,78.0,1.354,2.881
998.3,429.2,193.6,147.8,708.0,14.1,23.8,1.262,7.662
1111.1,31.4,25.7,96.4,482.3,23.7,71.5,0.764,5.195
828.1,265.4,210.2,87.4,1383.8,16.3,68.5,1.127,7.328
1530.0,40.1,366.3,21.2,510.8,24.0,80.7,1.554,12.308
1073.0,19.7,237.2,64.8,1410.4,5.1,79.1,1.58,7.462
922.5,72.5,73.9,53.3,1032.3,18.0,30.5,1.402,5.741
204.9,296.3,187.8,68.4,842.4,24.9,64.9,1.749,7.719
1157.8,366.6,143.6,101.9,1383.2,38.7,62.3,1.426,8.443
1153.9,199.9,122.0,129.7,809.0,28.9,68.6,0.589,6.962
1454.4,129.8,130.1,20.1,895.4,13.2,88.7,1.655,6.558
825.1,268.8,0.8,159.4,1150.7,4.9,27.7,1.078,2.517
662.8,121.6,220.9,38.1,667.7,15.5,64.0,0.831,7.511
1679.1,80.5,158.1,194.4,986.0,26.8,61.8,0.552,7.53
390.7,22.5,369.4,71.5,492.4,10.3,20.5,0.986,9.649
629.6,374.4,248.6,113.1,1118.3,16.4,66.1,1.417,9.197
1570.7,51.3,422.4,103.0,657.6,11.3,54.8,1.78,12.362
1337.3,34.7,400.0,77.3,1003.6,17.4,74.1,0.969,10.897
856.0,114.1,24.5,143.4,2110.1,19.9,72.9,1.261,4.345
870.1,333.0,88.2,160.1,624.1,24.3,23.1,0.735,5.903
896.2,301.9,17.9,86.7,1469.5,10.2,74.6,1.176,2.846
1309.2,119.5,33.7,53.1,863.4,24.3,82.8,0.926,5.225
1315.4,67.3,74.1,37.3,1186.6,19.3,64.2,0.719,6.295
1217.8,600.2,441.6,154.9,1253.4,8.9,80.8,1.235,11.901
1286.8,4.5,407.7,34.9,1167.8,19.9,34.6,1.927,14.31
1205.8,160.2,222.2,106.3,987.2,18.3,83.1,1.416,8.495
17.8,,101.4,126.4,248.5,24.5,85.5,1.577,6.487
1129.7,331.1,60.4,64.1,1224.9,11.9,39.9,0.831,4.004
846.5,335.9,79.3,131.0,919.9,11.8,44.2,1.142,5.432
1855.4,48.4,184.4,95.7,655.6,7.1,69.8,1.81,6.289
407.0,200.6,56.3,87.0,704.9,2.0,43.5,1.146,3.641
507.9,311.5,335.9,28.2,430.1,15.9,89.3,0.962,10.219
1042.0,,450.0,70.2,950.6,16.1,40.2,0.737,12.945
511.4,393.2,58.7,62.0,738.4,3.9,22.0,1.373,2.59
2013.9,223.9,157.6,135.9,783.2,22.4,77.2,0.606,7.956
1221.7,96.7,128.9,112.3,1158.3,23.1,23.0,0.782,7.25
763.7,,123.3,58.4,797.0,3.1,88.2,0.803,4.35
1155.0,263.5,62.0,16.4,984.0,13.6,62.0,0.557,4.775
1088.5,165.4,78.8,133.8,762.3,22.0,50.8,0.641,5.64
739.6,27.5,3.8,149.1,973.1,20.6,71.3,1.136,3.093
485.2,300.5,253.8,150.0,632.0,11.3,70.1,0.512,7.431
549.1,138.9,259.8,115.0,437.2,27.9,47.2,1.194,9.699
821.0,,379.4,48.8,774.7,4.0,35.0,1.954,9.575
1393.0,89.8,,66.7,763.6,13.0,79.1,1.183,7.131
1245.6,122.2,27.4,14.3,697.3,25.8,84.5,1.716,5.687
1875.7,465.1,51.5,106.2,999.8,18.9,89.6,0.504,4.688
658.9,38.7,26.5,130.9,1357.0,14.1,45.4,1.615,3.682
519.8,209.9,413.1,54.2,391.5,33.9,60.4,1.189,12.94
934.5,211.7,30.1,57.4,1137.9,14.2,88.7,0.939,4.044
1172.1,78.9,199.2,30.4,1452.5,4.6,48.9,0.506,6.764
1182.7,213.8,430.1,122.6,1156.5,7.6,75.3,1.381,10.954
1143.6,167.4,220.1,157.6,972.9,30.2,85.8,1.665,9.614
1083.2,558.3,120.0,95.8,1020.1,5.3,33.0,0.755,5.338
781.1,,207.8,64.4,1149.6,27.6,70.7,1.68,7.808
833.4,241.2,142.9,56.2,196.5,14.9,69.2,1.805,6.748
1629.4,,241.8,73.5,183.4,33.6,47.2,1.631,9.65
523.0,168.8,149.2,137.8,950.0,22.8,88.7,1.715,7.637
1097.8,144.3,151.2,75.1,916.6,18.4,80.7,1.498,7.712
1464.6,207.5,4.9,46.0,1374.0,3.4,89.6,1.686,1.643
593.9,142.3,459.4,200.4,874.8,13.0,58.5,1.8,12.376
592.4,481.8,119.0,38.2,656.9,25.9,35.6,1.289,7.099
1115.0,623.1,290.7,44.6,384.1,33.6,39.6,1.748,11.769
1171.9,207.9,175.4,56.7,748.3,5.2,75.4,1.685,5.561
873.5,49.9,120.9,105.7,638.8,11.4,45.3,0.792,5.35
1180.3,519.0,129.7,82.3,1001.9,8.0,35.0,0.931,4.852
341.6,35.8,346.0,72.9,1126.5,18.7,84.5,1.816,11.074
743.5,82.7,94.8,96.4,495.5,23.6,43.9,1.094,4.935
1464.0,286.4,,42.2,1181.2,14.3,25.7,1.996,7.567
260.7,414.1,223.4,114.9,13.8,16.3,59.7,1.49,8.402
1821.2,78.1,59.6,140.2,1344.1,24.3,58.5,0.57,5.296
947.3,,42.4,64.8,590.6,21.7,49.6,1.08,4.799
1642.7,280.6,243.0,108.7,1272.1,7.2,51.2,1.688,7.561
1465.3,332.0,450.5,86.6,648.0,8.9,35.4,1.054,11.17
1090.1,220.7,29.4,124.9,972.8,24.5,40.7,1.065,5.047
1104.9,178.2,98.6,94.7,710.5,19.3,54.1,1.016,5.907
1757.4,202.8,181.9,146.2,1134.3,22.6,88.0,0.994,7.434
573.7,269.6,,219.1,555.0,3.6,88.6,0.791,6.763
955.8,391.4,157.9,132.6,372.7,25.6,26.1,0.784,6.872
762.6,216.0,545.5,140.7,1103.1,13.1,83.4,1.691,13.928
666.4,622.9,141.5,74.3,707.1,21.9,50.8,1.423,8.028
1459.5,276.6,50.4,67.0,1493.2,17.2,52.1,0.91,4.039
1155.5,418.4,396.0,107.0,1067.5,25.9,45.2,1.674,12.961
1143.1,341.2,10.5,39.7,1302.8,21.4,81.6,1.393,4.141
1144.7,,165.2,150.1,1330.3,14.5,52.0,1.215,7.217
1312.2,472.0,66.6,134.0,741.4,12.2,20.4,1.428,4.531
924.4,283.9,59.5,68.9,899.4,18.0,85.5,0.956,5.333
1431.9,32.9,17.0,127.1,1013.4,13.8,88.2,1.612,3.691
962.0,189.6,280.7,207.0,625.2,31.7,50.3,0.854,10.811
1001.4,85.5,326.8,108.1,684.8,9.0,50.5,1.335,9.401
848.4,4.7,259.0,133.0,914.0,18.6,21.2,1.766,9.121
931.9,13.2,402.9,111.4,1318.1,11.1,34.1,1.284,11.036
1120.6,275.5,62.4,112.5,921.0,28.9,28.4,1.261,6.204
981.9,126.1,134.1,94.2,1015.4,25.1,75.7,1.472,6.7
670.4,205.0,74.5,203.0,1128.7,3.7,56.1,0.971,3.25
907.2,47.3,250.1,1.7,1308.0,19.0,40.3,1.984,8.399
866.8,50.6,209.7,119.9,1146.6,19.0,84.7,1.552,8.682
930.9,132.0,52.1,89.3,808.6,14.5,65.2,1.004,4.464
244.3,178.9,377.0,155.0,791.9,19.1,85.6,1.452,11.078
1286.3,558.0,41.6,153.4,115.4,22.5,37.8,1.817,5.587
925.7,55.8,57.8,138.2,604.3,21.1,80.7,1.764,4.893
1126.7,211.4,17.6,55.7,1095.2,3.8,79.8,1.917,1.758
1197.2,242.7,354.6,167.4,554.4,0.2,82.8,0.731,9.188
555.7,,420.5,79.1,592.1,-9.3,77.2,0.977,9.244
1239.4,437.9,152.1,159.2,1223.9,15.0,76.4,1.917,6.028
573.2,200.7,298.6,115.8,512.0,11.3,79.4,1.477,9.612
1123.1,325.7,36.4,110.5,600.9,18.2,82.7,1.875,5.032
267.5,24.0,260.8,80.2,604.3,12.4,49.7,0.882,8.457
99.9,,238.1,3.8,416.3,14.9,35.3,1.613,7.345
1355.7,112.1,10.9,196.1,636.7,17.0,25.0,1.273,3.653
1201.4,109.2,173.0,119.1,80.6,0.1,39.3,1.476,5.683
909.5,79.2,181.5,79.0,1733.7,24.1,80.4,1.349,8.192
964.6,206.4,50.0,124.9,792.7,16.1,89.8,1.597,4.925
339.5,57.8,289.8,80.0,916.6,6.6,49.6,0.808,8.328
964.2,62.8,2.1,56.1,144.6,15.2,52.8,1.963,3.232
1012.5,440.0,300.0,66.7,575.6,7.4,47.5,1.265,8.895
796.6,43.4,437.6,75.7,904.9,21.7,58.6,1.73,13.048
903.2,417.0,,71.8,406.4,21.1,53.5,0.53,7.703
576.4,320.9,309.8,109.4,1187.8,16.8,67.9,0.727,10.708
375.5,378.1,307.2,158.9,947.6,16.6,39.2,1.0,9.756
1037.1,378.0,311.3,117.8,753.4,26.4,48.2,1.564,10.386
470.9,127.3,123.7,91.6,872.7,24.2,48.2,0.963,6.114
1151.1,13.9,246.3,13.0,687.6,3.8,42.3,1.665,7.082
1104.3,,239.6,122.2,199.5,12.4,75.9,0.697,7.11
1380.2,148.7,35.2,64.2,958.3,22.8,57.8,1.166,5.283
1097.7,84.2,107.9,112.2,407.0,25.9,59.2,0.979,6.279
2176.7,231.7,58.1,121.5,887.1,35.4,36.9,0.647,6.906
