temperature,pressure,vibration,rotation_speed,tool_wear,material_type,operator_exp,shift,humidity,defect
,227.8,7.39,1583,148,plastic,expert,afternoon,21.2,normal
92.0,153.5,2.67,1758,166,aluminum,senior,afternoon,22.6,normal
85.0,225.6,2.37,1515,108,composite,junior,morning,70.6,normal
81.6,239.6,6.62,1461,57,plastic,senior,afternoon,42.9,normal
80.5,166.6,8.69,1614,197,plastic,senior,morning,63.8,normal
91.3,141.3,9.38,1611,172,composite,junior,afternoon,57.1,normal
89.5,214.0,4.84,1473,127,composite,senior,afternoon,61.7,normal
103.7,229.0,1.07,1445,270,steel,junior,night,31.8,defective
74.8,173.6,4.71,1611,165,aluminum,senior,night,52.8,normal
75.0,158.0,7.54,1456,63,steel,senior,morning,58.8,normal
85.7,143.6,2.99,1495,107,aluminum,senior,night,53.1,normal
77.2,232.5,3.96,1530,115,composite,senior,night,76.7,normal
67.2,196.9,5.73,1481,243,plastic,senior,night,21.0,normal
80.8,239.1,7.49,1502,198,aluminum,senior,morning,32.9,normal
106.6,116.7,3.16,1417,202,aluminum,senior,morning,24.4,defective
109.9,202.5,7.27,1556,77,aluminum,junior,afternoon,77.8,normal
90.4,233.4,6.54,1459,27,composite,senior,night,34.0,normal
73.9,171.8,4.6,1653,229,composite,junior,afternoon,64.4,defective
77.2,222.2,6.66,1512,289,steel,expert,afternoon,28.7,defective
85.9,168.4,7.14,1603,200,plastic,expert,afternoon,23.1,normal
80.0,171.6,8.43,1563,19,plastic,senior,morning,31.5,normal
86.6,202.1,8.15,1612,106,steel,junior,morning,36.6,normal
85.4,181.8,2.84,1455,243,aluminum,senior,night,47.5,normal
72.8,241.1,6.08,1382,222,composite,expert,afternoon,21.3,normal
84.5,200.3,5.04,1410,21,plastic,junior,afternoon,57.0,normal
89.6,242.2,5.86,1403,204,plastic,senior,morning,59.4,normal
81.3,220.2,5.21,1418,46,plastic,junior,night,37.5,normal
94.5,172.7,5.45,1383,24,aluminum,expert,afternoon,35.9,normal
85.6,206.7,5.1,1488,149,steel,expert,night,31.4,normal
83.7,175.0,3.87,1575,101,steel,senior,night,32.9,normal
85.6,234.6,5.61,1371,179,plastic,senior,afternoon,59.0,normal
79.6,243.7,6.96,1433,118,aluminum,senior,morning,56.3,normal
89.1,148.1,4.75,1602,147,composite,senior,morning,74.9,normal
76.4,217.0,4.09,1345,207,plastic,senior,morning,69.6,normal
108.9,236.3,5.55,1500,19,steel,senior,night,54.6,defective
105.3,226.8,5.87,1559,104,aluminum,expert,morning,30.0,normal
84.2,196.9,3.74,1709,105,steel,expert,morning,39.4,normal
90.7,282.3,4.32,1264,172,plastic,senior,afternoon,48.6,normal
91.0,207.1,2.87,1368,36,composite,expert,night,45.2,normal
90.9,155.5,5.79,1529,142,steel,senior,night,23.9,normal
91.8,220.8,4.47,1463,136,aluminum,junior,night,41.5,normal
92.6,232.8,7.88,1226,100,composite,senior,night,31.3,normal
91.9,217.7,6.17,1455,171,aluminum,expert,night,54.5,normal
77.1,206.2,6.51,1409,142,aluminum,junior,morning,75.8,normal
89.4,158.3,5.45,1335,43,steel,senior,afternoon,28.4,normal
77.6,150.4,6.89,1462,119,aluminum,expert,night,71.7,normal
90.2,170.9,1.88,1367,117,steel,junior,morning,35.7,normal
94.4,127.8,5.09,1413,238,aluminum,senior,morning,61.3,defective
88.8,245.9,4.51,1630,152,steel,junior,afternoon,56.4,normal
92.5,202.1,7.42,1686,201,steel,senior,morning,33.1,defective
87.2,189.9,2.58,1410,248,composite,senior,night,42.2,defective
103.5,156.9,5.58,1512,49,steel,senior,morning,52.8,defective
89.1,161.5,7.71,1562,252,aluminum,junior,night,74.7,normal
75.8,200.6,4.95,1415,138,steel,expert,afternoon,31.1,normal
80.1,191.3,4.94,1403,278,composite,senior,afternoon,40.6,normal
89.3,204.0,5.7,1564,87,aluminum,expert,afternoon,79.7,normal
98.1,160.1,4.72,1477,142,composite,senior,morning,67.4,normal
89.0,211.5,5.95,1478,62,plastic,expert,morning,43.1,normal
87.3,238.4,7.36,1383,147,aluminum,junior,morning,28.5,normal
73.8,191.4,5.79,1398,247,plastic,junior,morning,50.0,normal
104.0,223.5,5.1,1506,9,aluminum,senior,afternoon,55.0,normal
71.7,194.8,6.73,1456,111,plastic,junior,afternoon,35.5,normal
69.5,188.5,8.2,1509,241,steel,senior,afternoon,62.7,defective
80.3,212.9,3.85,1594,48,plastic,senior,night,52.5,normal
90.9,186.0,8.94,1515,48,composite,junior,night,42.0,normal
81.0,181.2,3.99,1435,32,composite,senior,night,37.4,normal
78.8,232.5,5.89,1591,86,plastic,junior,morning,37.1,normal
76.8,145.4,5.8,1497,278,steel,expert,night,67.4,defective
102.7,202.7,5.91,1631,180,plastic,senior,afternoon,49.9,normal
88.4,168.3,1.86,1429,292,aluminum,expert,morning,37.0,normal
94.0,254.2,2.66,1488,277,aluminum,senior,morning,67.3,normal
105.6,227.2,4.34,1466,220,plastic,senior,night,21.3,defective
105.3,238.4,3.82,1510,129,plastic,senior,morning,79.7,defective
76.0,205.9,6.16,1523,4,aluminum,junior,morning,73.3,normal
87.5,218.9,7.52,1499,258,aluminum,senior,night,64.6,normal
92.9,206.3,1.02,1581,204,plastic,junior,afternoon,36.0,defective
86.1,183.1,2.81,1541,204,steel,junior,afternoon,73.4,normal
,253.1,4.05,1744,267,steel,junior,afternoon,69.0,normal
58.3,221.1,2.86,1760,69,aluminum,expert,night,68.1,normal
98.5,175.3,4.43,1430,39,composite,expert,morning,30.5,normal
103.5,153.0,3.38,1447,133,steel,junior,night,56.9,normal
92.4,169.5,6.08,1371,62,plastic,senior,morning,74.0,normal
84.8,201.7,10.53,1661,90,aluminum,senior,afternoon,50.3,normal
79.5,180.5,3.39,1456,196,steel,junior,afternoon,53.1,normal
86.3,228.0,7.61,1525,248,steel,senior,night,44.5,defective
98.4,208.4,10.37,1379,0,steel,junior,afternoon,60.2,normal
90.5,192.5,3.75,1512,173,composite,senior,night,71.6,normal
63.2,200.0,9.41,1323,137,aluminum,junior,afternoon,50.6,normal
101.0,196.3,3.34,1619,112,plastic,senior,afternoon,78.1,normal
91.8,193.0,7.57,1683,234,plastic,junior,afternoon,44.2,normal
74.3,211.6,3.48,1570,13,aluminum,senior,night,27.3,normal
90.9,184.6,1.37,1405,45,composite,senior,afternoon,20.9,normal
87.1,165.0,7.16,1555,39,steel,senior,night,54.7,normal
87.0,222.4,6.12,1520,113,composite,senior,night,68.8,normal
74.9,176.1,4.92,1639,146,plastic,junior,morning,70.9,normal
82.4,237.2,1.77,1585,241,steel,junior,afternoon,77.8,normal
,195.1,7.7,1393,16,plastic,senior,morning,51.6,normal
97.3,186.6,7.24,1616,209,plastic,senior,morning,32.6,normal
76.4,172.0,1.42,1492,231,plastic,senior,night,60.7,defective
96.2,190.7,5.51,1632,192,composite,junior,afternoon,73.6,normal
91.1,210.5,6.16,1343,69,steel,senior,morning,31.1,normal
81.0,176.3,2.78,1553,293,steel,senior,afternoon,40.9,defective
77.5,222.1,7.07,1471,144,composite,junior,afternoon,67.0,normal
87.1,166.8,10.06,1510,72,steel,senior,night,34.1,normal
95.8,227.4,7.21,1432,124,steel,expert,night,73.9,normal
93.1,203.3,8.56,1550,266,steel,junior,morning,70.5,defective
90.7,186.5,6.86,1406,145,composite,senior,morning,50.3,normal
83.4,211.5,2.79,1343,237,aluminum,senior,night,79.9,defective
93.2,248.1,6.73,1425,228,plastic,junior,morning,37.7,defective
69.6,234.6,2.43,1426,134,plastic,expert,morning,75.9,normal
87.5,210.9,4.0,1469,171,composite,expert,afternoon,37.5,normal
85.1,228.1,4.52,1571,294,aluminum,senior,morning,61.7,defective
72.8,187.3,4.29,1407,10,plastic,senior,morning,65.3,normal
81.5,181.1,3.42,1579,124,aluminum,senior,morning,59.0,normal
101.9,221.4,4.5,1558,265,aluminum,junior,night,52.2,defective
90.7,207.1,4.76,1601,127,composite,junior,afternoon,59.2,normal
94.4,191.3,7.58,1463,75,aluminum,expert,morning,21.4,normal
80.5,224.2,5.86,1656,109,plastic,expert,night,72.9,normal
68.2,201.3,6.99,1470,223,aluminum,senior,afternoon,52.0,defective
100.0,238.5,4.53,1590,7,plastic,junior,night,49.1,normal
77.7,136.6,6.94,1667,175,steel,expert,night,54.5,normal
81.7,184.8,1.15,1621,20,composite,expert,afternoon,54.2,normal
71.5,227.7,2.44,1488,207,steel,senior,afternoon,63.7,defective
98.9,249.6,7.02,1389,96,aluminum,senior,night,25.2,normal
88.3,239.8,3.81,1404,242,aluminum,senior,night,76.4,normal
83.7,181.0,5.22,1401,102,composite,expert,morning,76.4,normal
91.1,238.0,0.33,1431,261,steel,junior,night,20.8,normal
81.3,145.6,4.24,1497,58,steel,junior,afternoon,51.4,normal
79.0,172.4,2.5,1564,22,steel,expert,afternoon,64.0,normal
73.2,192.2,3.64,1578,99,composite,junior,afternoon,36.8,normal
71.9,213.6,5.25,1596,117,aluminum,expert,afternoon,58.3,normal
95.7,170.6,5.2,1590,226,steel,senior,night,59.4,normal
97.7,195.9,4.52,1488,184,aluminum,senior,night,33.0,normal
68.0,240.9,6.81,1565,156,aluminum,senior,afternoon,32.6,normal
84.5,164.8,4.12,1473,212,aluminum,junior,afternoon,65.1,defective
86.1,162.4,4.47,1530,60,composite,senior,afternoon,62.6,normal
78.5,176.3,2.61,1477,252,plastic,senior,morning,71.8,defective
76.8,271.6,7.43,1498,60,composite,senior,night,73.0,normal
86.0,212.6,3.38,1466,215,aluminum,junior,afternoon,29.5,normal
78.0,174.3,2.18,1322,29,composite,expert,night,68.2,normal
85.3,227.6,2.57,1473,254,steel,junior,morning,59.8,defective
74.2,144.9,5.39,1560,282,steel,senior,night,58.7,defective
79.2,196.1,4.81,1595,29,composite,junior,morning,36.2,normal
82.2,204.0,4.55,1549,182,aluminum,expert,night,69.7,normal
81.7,233.4,7.01,1404,150,plastic,junior,morning,79.4,normal
96.5,156.8,3.03,1450,292,plastic,expert,night,29.8,defective
79.5,238.5,5.99,1340,241,aluminum,junior,morning,64.4,defective
94.4,230.8,5.19,1568,219,plastic,junior,afternoon,42.8,normal
55.2,240.1,5.82,1411,62,aluminum,senior,afternoon,31.3,normal
85.0,164.0,5.23,1537,205,composite,expert,night,28.3,defective
64.1,252.0,3.5,1545,190,steel,senior,morning,32.5,normal
97.3,143.6,0.55,1411,292,composite,expert,afternoon,71.1,normal
105.2,162.4,6.62,1527,96,plastic,junior,night,52.9,normal
84.6,205.3,4.98,1681,114,aluminum,expert,morning,73.5,normal
102.2,188.7,5.24,1465,30,plastic,junior,morning,74.5,normal
77.0,159.8,4.94,1608,205,plastic,senior,morning,29.0,normal
94.8,270.9,2.04,1527,152,plastic,junior,morning,57.7,normal
93.5,149.1,5.45,1531,152,composite,expert,night,23.1,normal
83.5,147.9,5.06,1491,173,composite,expert,morning,36.4,normal
84.9,209.8,4.86,1593,285,steel,senior,morning,30.4,defective
88.3,198.4,8.43,1484,278,composite,senior,afternoon,70.3,defective
87.1,156.1,5.24,1560,126,steel,senior,morning,41.9,normal
88.4,265.4,4.75,1593,142,plastic,expert,morning,79.6,normal
106.4,203.1,4.7,1602,20,steel,senior,morning,28.5,normal
105.0,182.9,2.86,1556,285,steel,expert,morning,33.7,defective
93.5,200.0,5.28,1576,254,composite,senior,night,58.7,defective
105.7,152.8,5.54,1503,10,composite,senior,night,78.1,defective
74.0,232.6,3.68,1458,113,plastic,senior,night,64.0,normal
93.2,207.8,6.49,1533,217,composite,senior,afternoon,27.5,normal
93.6,192.5,5.97,1534,136,composite,senior,morning,44.9,normal
80.9,200.0,4.77,1533,68,composite,senior,night,79.8,normal
106.6,173.4,6.66,1611,46,plastic,senior,night,24.2,normal
101.2,234.1,4.23,1503,238,composite,expert,afternoon,37.1,defective
90.4,180.4,6.6,1365,161,plastic,senior,afternoon,27.5,normal
77.9,183.3,4.02,1296,32,aluminum,senior,morning,69.2,normal
69.6,206.0,8.16,1519,64,steel,junior,morning,70.0,normal
74.7,139.8,3.83,1603,178,aluminum,senior,morning,40.6,normal
101.4,216.5,4.69,1479,203,aluminum,junior,night,40.2,defective
82.3,199.2,3.27,1688,44,aluminum,senior,afternoon,68.8,normal
96.5,216.0,6.1,1516,32,steel,senior,night,29.5,normal
88.7,192.8,2.73,1740,105,composite,senior,morning,69.3,normal
64.8,174.7,4.77,1491,50,plastic,senior,night,25.8,normal
82.4,203.4,2.24,1658,132,composite,senior,afternoon,37.7,normal
75.4,229.8,6.07,1459,293,steel,senior,night,50.2,normal
93.3,183.4,6.18,1607,132,plastic,senior,morning,27.2,normal
93.9,224.9,5.25,1560,55,aluminum,senior,morning,24.5,normal
83.2,191.0,3.94,1536,88,aluminum,expert,morning,36.2,normal
100.4,186.3,6.39,1535,291,aluminum,senior,morning,55.2,defective
95.8,226.6,3.12,1643,150,composite,junior,afternoon,68.8,normal
80.7,210.4,3.51,1484,20,composite,junior,afternoon,63.9,normal
90.5,158.9,6.38,1513,236,aluminum,senior,morning,52.9,normal
77.1,194.0,6.09,1775,98,aluminum,senior,afternoon,59.7,normal
81.6,165.1,6.1,1556,105,plastic,junior,morning,52.2,normal
91.1,215.8,9.6,1625,299,aluminum,senior,night,52.5,defective
85.6,172.7,5.34,1477,216,aluminum,junior,night,21.0,defective
70.8,204.8,4.2,1448,257,plastic,junior,night,43.0,normal
89.2,215.6,4.72,1579,107,steel,senior,afternoon,53.5,normal
81.8,215.9,0.8,1524,142,composite,expert,morning,55.7,normal
77.0,183.6,5.77,1482,230,aluminum,junior,night,50.5,normal
74.1,201.5,7.83,1333,174,plastic,senior,afternoon,61.9,normal
83.1,179.1,4.31,1323,203,composite,senior,afternoon,42.1,defective
87.5,187.3,7.62,1308,133,aluminum,junior,afternoon,28.6,normal
82.7,171.5,3.06,1536,197,plastic,junior,afternoon,21.9,normal
88.1,201.7,3.45,1394,175,steel,junior,morning,54.2,normal
82.4,214.3,3.44,1327,185,composite,expert,afternoon,49.8,normal
90.9,174.7,2.07,1413,100,aluminum,senior,afternoon,34.2,normal
83.5,174.9,7.92,1310,217,aluminum,junior,morning,33.3,normal
68.6,247.9,6.03,1439,130,steel,junior,morning,54.9,normal
73.0,174.8,6.24,1434,173,composite,senior,night,26.4,normal
79.7,221.6,3.55,1551,145,composite,senior,morning,28.2,normal
97.6,230.2,6.59,1516,183,steel,junior,afternoon,34.9,normal
75.4,208.5,3.98,1452,144,steel,senior,night,73.1,normal
88.9,210.9,4.08,1566,287,composite,junior,morning,62.3,defective
89.1,202.1,7.14,1376,75,plastic,junior,morning,53.5,normal
72.8,159.1,3.31,1452,212,aluminum,senior,night,42.1,defective
82.3,232.1,3.0,1421,153,composite,senior,morning,45.1,normal
86.5,186.6,2.77,1494,166,plastic,senior,night,30.3,normal
,225.0,4.71,1293,115,steel,senior,afternoon,70.4,normal
90.7,199.3,9.12,1728,99,aluminum,expert,morning,30.9,normal
90.3,214.4,4.48,1535,33,steel,senior,afternoon,65.6,normal
87.1,208.2,2.4,1539,18,steel,expert,night,34.4,normal
94.2,186.0,3.75,1297,85,plastic,expert,morning,65.4,normal
85.0,223.7,4.07,1522,230,plastic,expert,morning,38.2,defective
86.1,159.9,5.09,1478,81,composite,junior,afternoon,78.9,normal
87.8,236.9,5.73,1612,256,composite,senior,night,75.2,normal
74.0,233.1,0.81,1471,167,aluminum,junior,morning,72.6,normal
90.8,192.0,2.55,1465,151,plastic,senior,afternoon,30.9,normal
78.9,207.5,2.4,1494,231,aluminum,junior,afternoon,25.0,normal
82.9,192.4,7.04,1638,51,composite,junior,morning,77.8,normal
90.5,175.1,2.97,1343,1,steel,expert,morning,46.1,normal
89.5,197.4,5.56,1326,188,aluminum,senior,night,72.5,normal
70.8,208.2,5.93,1275,193,composite,expert,morning,49.2,normal
70.9,239.9,3.99,1608,287,steel,senior,night,58.9,normal
75.0,194.0,0.14,1596,258,composite,senior,night,65.3,normal
87.0,200.3,7.34,1379,54,composite,junior,night,52.1,normal
98.1,239.2,7.62,1358,282,plastic,senior,night,76.2,normal
80.2,215.2,4.96,1596,203,steel,senior,morning,22.9,normal
,158.1,3.63,1355,7,plastic,expert,morning,70.1,normal
75.6,199.1,8.59,1471,275,composite,junior,night,61.3,defective
,225.1,3.57,1445,179,composite,junior,night,39.8,normal
95.8,273.7,6.59,1825,272,aluminum,junior,morning,48.2,defective
95.2,205.6,2.01,1484,108,composite,expert,night,48.3,normal
,137.5,5.92,1627,288,aluminum,senior,morning,22.6,normal
69.8,145.4,2.4,1546,202,aluminum,senior,morning,52.1,normal
85.8,179.4,5.76,1453,97,steel,senior,morning,24.0,normal
99.8,171.6,5.01,1442,78,plastic,senior,afternoon,51.0,normal
89.3,224.8,4.27,1508,87,aluminum,senior,morning,32.9,normal
71.4,256.1,4.21,1509,167,composite,senior,night,70.0,normal
84.3,223.3,7.17,1449,185,composite,senior,afternoon,24.2,normal
74.9,227.2,4.83,1556,82,steel,senior,night,37.7,normal
88.3,219.8,5.79,1504,22,steel,junior,morning,44.5,normal
84.6,210.9,10.69,1430,102,steel,junior,afternoon,56.1,normal
,177.2,2.5,1464,6,aluminum,junior,afternoon,79.3,normal
78.7,223.7,3.46,1551,108,steel,senior,night,27.8,normal
89.3,189.0,1.7,1394,258,composite,senior,night,42.4,normal
96.9,224.8,1.6,1394,111,plastic,senior,morning,60.9,normal
101.2,213.0,8.81,1372,285,composite,junior,afternoon,42.4,defective
89.1,200.0,4.16,1464,251,plastic,senior,morning,34.4,normal
97.7,177.7,0.27,1475,97,composite,junior,afternoon,68.9,normal
74.9,197.9,4.43,1389,12,aluminum,senior,afternoon,31.2,normal
81.6,182.5,4.01,1500,166,steel,expert,night,40.2,normal
75.4,148.2,2.9,1501,76,composite,senior,night,34.4,normal
80.1,166.7,4.12,1593,280,composite,junior,afternoon,77.6,normal
74.7,208.8,5.32,1590,168,composite,expert,afternoon,70.2,normal
101.3,121.9,4.18,1300,225,aluminum,senior,afternoon,47.7,defective
81.3,271.3,6.7,1529,39,steel,senior,morning,70.4,normal
83.6,184.9,4.88,1303,2,aluminum,junior,afternoon,61.0,normal
69.5,225.7,5.03,1557,250,composite,senior,night,41.4,defective
64.9,135.1,4.62,1555,97,aluminum,senior,afternoon,32.6,normal
102.0,170.6,2.53,1400,296,plastic,senior,night,41.6,defective
82.6,231.8,2.61,1534,156,steel,expert,morning,51.1,normal
107.9,212.5,5.24,1397,3,plastic,senior,morning,32.0,defective
83.5,188.1,3.48,1487,280,composite,junior,morning,36.4,normal
72.6,259.6,6.2,1508,251,plastic,expert,morning,58.8,defective
85.2,157.6,4.33,1474,254,composite,junior,afternoon,63.5,defective
85.7,232.9,3.45,1574,97,steel,senior,night,47.4,normal
86.4,187.1,5.52,1422,148,aluminum,senior,night,78.2,normal
84.3,174.6,5.05,1550,107,steel,expert,morning,38.3,normal
69.9,141.0,1.69,1377,122,steel,senior,night,74.7,normal
69.7,145.3,1.36,1289,258,plastic,expert,morning,36.5,normal
96.6,204.2,6.14,1329,78,plastic,senior,night,64.1,normal
104.7,202.3,3.51,1401,210,composite,junior,morning,79.9,defective
82.1,177.2,5.3,1565,176,steel,senior,night,70.0,normal
66.7,193.9,5.46,1555,67,composite,senior,afternoon,48.5,normal
97.0,195.5,7.41,1478,286,steel,junior,afternoon,27.5,normal
76.5,185.9,8.3,1291,259,aluminum,junior,afternoon,78.0,defective
,170.0,2.71,1682,124,plastic,senior,afternoon,63.2,normal
,215.8,4.7,1348,207,plastic,expert,morning,70.3,normal
80.1,237.4,4.75,1536,165,composite,senior,night,54.4,normal
76.4,211.3,8.04,1459,261,plastic,senior,night,48.7,defective
99.0,213.1,2.12,1540,216,steel,junior,afternoon,24.7,defective
89.5,222.7,7.87,1632,294,steel,junior,afternoon,23.7,defective
88.3,193.0,6.13,1519,110,aluminum,senior,afternoon,54.9,normal
85.4,180.7,3.9,1571,72,plastic,junior,night,31.3,normal
88.9,140.3,6.74,1807,164,plastic,senior,morning,60.5,normal
73.2,183.4,4.25,1602,97,aluminum,junior,afternoon,77.4,normal
90.2,181.1,1.77,1337,39,aluminum,senior,afternoon,41.4,normal
97.1,168.4,5.24,1225,247,composite,senior,night,64.2,defective
87.2,207.0,4.47,1553,167,composite,junior,morning,74.7,normal
,194.2,4.03,1454,292,aluminum,senior,afternoon,70.6,normal
80.9,212.8,3.42,1580,125,plastic,senior,morning,25.0,normal
89.1,166.3,6.23,1245,49,plastic,junior,afternoon,60.6,normal
,154.3,4.97,1617,266,plastic,senior,night,38.2,normal
68.5,220.0,4.05,1490,205,plastic,senior,morning,74.2,normal
82.6,224.8,3.79,1709,251,aluminum,junior,night,30.2,normal
96.3,174.8,4.08,1500,7,aluminum,senior,afternoon,33.3,normal
71.7,189.3,3.83,1554,283,composite,senior,night,49.5,normal
101.3,208.2,4.19,1462,211,aluminum,junior,afternoon,39.8,defective
79.5,217.4,6.45,1454,59,plastic,senior,afternoon,41.6,normal
90.6,147.3,4.26,1529,255,aluminum,senior,afternoon,45.5,normal
100.2,229.5,5.31,1469,265,composite,senior,afternoon,28.6,defective
103.3,160.1,4.23,1441,62,plastic,expert,night,25.8,defective
,157.9,1.45,1537,188,aluminum,expert,afternoon,31.6,normal
,187.6,5.44,1442,153,aluminum,senior,afternoon,52.0,normal
96.4,187.0,3.57,1540,150,steel,junior,afternoon,44.1,normal
79.1,200.8,6.33,1343,146,plastic,senior,night,59.8,normal
75.6,204.7,8.31,1501,145,plastic,senior,night,61.6,normal
79.1,250.9,3.68,1481,177,composite,senior,afternoon,57.8,normal
97.6,172.6,6.81,1276,146,composite,senior,afternoon,33.6,normal
80.3,231.9,4.18,1377,230,composite,senior,afternoon,57.3,normal
77.2,155.7,4.38,1244,231,composite,expert,afternoon,53.8,defective
101.0,162.9,5.76,1510,270,steel,expert,night,58.3,defective
83.6,171.8,1.07,1420,15,composite,junior,morning,34.9,normal
91.5,142.1,1.55,1468,146,steel,senior,morning,79.3,normal
75.6,213.4,5.11,1633,286,composite,senior,night,79.2,defective
81.0,236.6,0.24,1500,175,plastic,senior,morning,72.7,normal
83.0,227.2,7.17,1529,7,steel,expert,night,34.3,normal
79.2,153.7,7.67,1452,49,plastic,senior,morning,65.2,normal
84.2,268.4,5.71,1427,188,composite,senior,night,27.5,normal
76.1,203.3,4.74,1356,87,composite,expert,morning,75.0,normal
84.2,246.3,7.22,1572,12,steel,junior,morning,33.4,normal
96.4,195.8,4.07,1654,201,composite,expert,night,46.5,normal
68.3,196.1,4.25,1617,146,composite,senior,afternoon,58.6,normal
83.7,188.7,4.73,1381,157,plastic,junior,morning,42.0,normal
80.2,262.0,3.34,1626,60,steel,senior,morning,34.3,normal
79.2,241.6,7.58,1484,34,composite,senior,morning,67.6,normal
104.5,198.3,7.52,1647,280,composite,junior,afternoon,68.8,defective
99.5,190.4,3.12,1539,105,composite,senior,morning,48.6,normal
80.1,222.4,3.5,1531,109,composite,expert,night,37.9,normal
71.4,144.1,4.3,1534,292,composite,junior,morning,62.6,defective
100.2,134.8,7.4,1331,293,plastic,junior,morning,74.0,defective
89.0,168.9,4.29,1374,263,aluminum,junior,morning,68.2,normal
73.4,211.3,5.31,1437,278,steel,expert,morning,53.7,normal
75.9,231.8,2.87,1464,223,aluminum,senior,morning,23.6,defective
86.1,162.7,8.04,1512,172,steel,junior,afternoon,75.2,normal
102.5,246.1,2.66,1454,128,composite,expert,morning,74.5,defective
81.3,183.9,4.18,1449,245,composite,expert,afternoon,35.4,normal
89.5,212.8,1.59,1624,8,composite,senior,morning,61.2,normal
79.1,183.8,7.47,1635,295,steel,junior,afternoon,42.4,normal
89.7,196.5,4.94,1561,155,plastic,senior,morning,33.2,normal
68.7,254.2,8.56,1428,96,plastic,junior,morning,20.6,normal
91.4,183.9,3.04,1542,135,plastic,junior,night,41.9,normal
87.4,171.8,7.1,1628,292,plastic,junior,morning,32.7,normal
76.7,220.0,5.79,1475,209,steel,expert,night,21.4,normal
51.5,229.2,3.41,1634,273,composite,junior,afternoon,51.6,defective
101.3,154.8,3.68,1694,111,composite,senior,morning,34.0,defective
67.6,211.0,6.1,1598,203,plastic,junior,night,55.3,normal
97.6,216.1,4.92,1562,76,steel,junior,afternoon,45.1,normal
76.7,252.4,3.63,1535,74,composite,senior,afternoon,40.5,normal
88.8,187.9,8.5,1563,79,plastic,junior,night,42.6,normal
91.1,240.4,5.09,1542,43,steel,expert,morning,54.4,normal
,204.8,4.25,1378,77,aluminum,junior,night,70.0,normal
74.2,191.0,2.84,1633,180,composite,junior,night,60.2,normal
84.6,177.7,3.96,1509,213,plastic,senior,afternoon,26.6,defective
75.4,214.9,0.71,1744,273,plastic,expert,night,54.0,normal
74.6,165.0,5.0,1777,188,plastic,expert,afternoon,66.1,normal
85.9,167.2,6.47,1475,280,plastic,senior,night,38.7,normal
