age,job,marital,education,balance,housing,loan,contact,duration,campaign,pdays,previous,poutcome,subscribed
39,retired,married,tertiary,2490,yes,no,cellular,26,18,266,12,unknown,no
84,technician,married,tertiary,266,yes,no,cellular,290,44,232,12,other,no
36,technician,married,tertiary,-1787,no,yes,unknown,135,42,64,12,unknown,no
72,student,single,primary,6460,yes,no,cellular,148,39,60,6,failure,no
51,management,single,secondary,-460,yes,no,cellular,22,30,184,11,unknown,no
58,retired,married,tertiary,6063,yes,yes,unknown,175,3,93,8,unknown,no
24,technician,married,secondary,3828,no,no,telephone,204,2,93,1,unknown,no
74,entrepreneur,single,secondary,727,yes,no,unknown,93,3,288,11,unknown,no
33,retired,single,secondary,6580,yes,no,cellular,164,15,139,3,unknown,no
76,housemaid,divorced,primary,1305,no,no,cellular,47,41,182,19,other,no
55,entrepreneur,married,secondary,5401,yes,no,cellular,183,3,237,3,unknown,no
26,entrepreneur,married,tertiary,5204,yes,no,unknown,137,38,298,2,other,no
94,housemaid,married,primary,-2370,yes,no,unknown,157,43,105,16,unknown,no
51,retired,married,tertiary,-889,no,no,cellular,52,34,119,5,unknown,no
63,admin,married,secondary,843,no,no,cellular,280,17,101,4,unknown,no
54,blue-collar,married,tertiary,906,no,no,cellular,314,3,350,10,failure,no
60,housemaid,married,secondary,2813,yes,no,unknown,19,7,222,2,unknown,no
64,unemployed,single,primary,-3711,yes,no,unknown,363,31,260,11,other,no
23,technician,single,tertiary,1296,yes,yes,cellular,269,10,318,5,unknown,no
55,technician,married,tertiary,3097,no,no,cellular,145,35,17,14,unknown,no
78,student,married,primary,4034,no,no,unknown,10,28,337,19,unknown,no
21,retired,married,secondary,-317,yes,yes,cellular,133,20,131,19,unknown,no
22,student,single,secondary,-1637,no,no,cellular,113,1,275,2,unknown,no
87,retired,married,tertiary,447,yes,no,cellular,45,42,52,13,unknown,no
77,entrepreneur,married,primary,3072,no,no,unknown,322,13,147,0,unknown,yes
94,retired,married,secondary,-2175,no,no,cellular,69,8,239,0,unknown,no
94,student,married,secondary,594,no,no,unknown,156,24,53,1,unknown,no
73,retired,married,secondary,73,yes,no,unknown,107,22,27,19,failure,no
76,blue-collar,married,primary,-3193,yes,no,cellular,379,27,238,12,unknown,no
24,retired,divorced,secondary,-3331,yes,no,telephone,125,47,76,17,other,no
85,blue-collar,married,secondary,5909,yes,yes,cellular,58,33,162,9,unknown,no
48,admin,married,secondary,3870,no,no,cellular,230,26,292,9,unknown,no
65,management,married,tertiary,4469,yes,no,cellular,262,44,227,12,unknown,no
59,housemaid,married,secondary,402,yes,no,cellular,491,3,136,1,unknown,no
47,unemployed,married,secondary,1867,yes,no,cellular,246,30,25,5,unknown,no
68,unemployed,married,secondary,3152,no,no,cellular,9,38,-1,2,other,no
52,unemployed,married,primary,6167,yes,no,unknown,317,10,152,17,success,yes
79,entrepreneur,single,tertiary,2603,no,yes,cellular,118,6,87,13,unknown,no
68,entrepreneur,married,primary,-588,yes,yes,unknown,28,17,157,8,unknown,no
67,entrepreneur,married,secondary,3416,yes,no,cellular,690,7,41,0,unknown,yes
47,management,single,secondary,-7108,no,yes,unknown,188,14,75,5,unknown,no
36,retired,divorced,tertiary,-1243,no,no,unknown,401,34,235,14,unknown,no
67,retired,single,secondary,1740,yes,yes,cellular,35,46,250,6,unknown,no
71,entrepreneur,married,secondary,3363,no,no,unknown,269,6,398,19,unknown,no
21,blue-collar,married,tertiary,3514,no,no,cellular,163,33,211,11,unknown,no
29,retired,married,secondary,222,no,no,unknown,87,18,218,1,unknown,no
32,housemaid,single,secondary,1026,no,no,unknown,43,6,92,11,unknown,no
32,unemployed,married,tertiary,437,yes,no,unknown,74,18,321,13,unknown,no
27,blue-collar,married,secondary,3497,no,no,cellular,137,30,14,6,unknown,no
78,housemaid,divorced,primary,3021,yes,no,cellular,237,4,98,5,unknown,no
36,blue-collar,single,primary,1138,no,no,cellular,103,25,265,3,unknown,no
70,management,single,tertiary,-484,yes,yes,cellular,89,46,184,12,unknown,no
89,entrepreneur,single,secondary,2593,yes,yes,cellular,1,3,153,5,unknown,no
74,housemaid,divorced,secondary,1712,yes,yes,cellular,536,46,7,1,unknown,yes
26,unemployed,married,secondary,5960,yes,no,unknown,265,5,185,10,unknown,no
46,management,married,secondary,1279,yes,no,cellular,988,46,64,15,unknown,yes
24,unemployed,married,primary,775,no,yes,cellular,455,40,255,17,unknown,no
89,management,married,tertiary,-1074,yes,no,unknown,357,5,142,5,unknown,no
34,unemployed,married,tertiary,6019,yes,no,cellular,10,10,195,0,unknown,no
33,technician,married,secondary,1672,no,no,cellular,172,45,41,7,unknown,no
88,admin,married,secondary,2145,no,no,telephone,45,38,129,7,unknown,no
55,entrepreneur,single,tertiary,6570,no,no,cellular,383,20,301,12,unknown,yes
93,management,single,secondary,4919,yes,no,cellular,308,42,360,15,unknown,yes
64,entrepreneur,divorced,secondary,-2742,yes,no,cellular,33,13,338,9,success,yes
27,admin,married,secondary,5036,yes,no,unknown,277,42,248,16,unknown,no
41,blue-collar,single,tertiary,4912,yes,no,cellular,780,1,83,12,unknown,yes
67,blue-collar,married,secondary,-3831,yes,no,cellular,79,30,176,7,unknown,no
85,housemaid,married,secondary,5974,no,no,cellular,81,36,247,17,unknown,no
60,retired,single,secondary,-317,yes,no,cellular,4,45,185,19,success,yes
54,blue-collar,married,secondary,3703,yes,no,unknown,233,38,321,16,failure,no
62,retired,single,primary,-122,yes,no,cellular,315,8,280,0,failure,no
71,admin,married,secondary,8264,yes,no,cellular,8,9,358,11,unknown,no
60,technician,single,secondary,2050,no,no,cellular,523,41,341,10,unknown,yes
85,entrepreneur,married,secondary,4144,no,no,unknown,13,46,203,18,failure,no
54,technician,married,tertiary,1891,yes,no,unknown,151,33,237,11,unknown,no
58,entrepreneur,married,secondary,-1739,no,no,cellular,471,37,139,1,unknown,no
18,admin,married,primary,1163,no,no,unknown,474,49,175,13,unknown,yes
33,housemaid,married,tertiary,-2804,yes,no,cellular,25,6,109,17,other,no
54,entrepreneur,married,secondary,2316,no,no,cellular,639,17,382,14,unknown,yes
54,technician,married,tertiary,799,no,no,cellular,56,23,116,11,success,yes
24,admin,single,secondary,-2755,yes,no,cellular,75,37,315,2,failure,no
57,unemployed,married,secondary,60,no,no,cellular,202,2,355,14,success,yes
68,unemployed,married,secondary,-1837,yes,no,cellular,21,18,141,12,other,no
81,retired,single,secondary,45,no,no,cellular,137,38,153,9,unknown,no
39,management,married,secondary,968,no,no,cellular,304,28,219,9,success,yes
60,management,married,secondary,3607,no,no,unknown,123,14,-1,7,unknown,no
79,retired,married,secondary,-1218,yes,no,cellular,11,22,137,9,unknown,no
71,student,married,tertiary,-1054,no,no,cellular,294,1,214,5,unknown,no
44,technician,divorced,tertiary,2447,yes,no,cellular,49,43,52,5,unknown,no
46,entrepreneur,married,tertiary,1606,no,no,unknown,294,42,380,8,unknown,no
33,admin,single,primary,3683,yes,no,unknown,500,47,135,7,unknown,yes
28,management,single,primary,804,yes,yes,unknown,253,41,1,0,unknown,no
38,admin,single,secondary,3081,yes,no,unknown,6,39,168,18,unknown,no
26,blue-collar,single,tertiary,-7303,no,no,cellular,193,44,362,0,unknown,no
44,technician,married,primary,-785,yes,no,cellular,57,8,28,7,unknown,no
40,entrepreneur,divorced,secondary,1523,yes,no,unknown,39,27,318,14,unknown,no
68,housemaid,single,primary,1094,yes,no,unknown,257,10,385,11,unknown,no
20,retired,married,secondary,1860,no,no,cellular,61,34,39,2,unknown,no
33,technician,single,secondary,4071,yes,no,cellular,27,46,127,13,unknown,no
25,admin,single,primary,-161,yes,no,telephone,33,41,52,1,unknown,no
59,blue-collar,married,secondary,2327,yes,no,unknown,203,33,323,1,unknown,no
90,retired,married,secondary,720,yes,no,cellular,110,48,268,18,unknown,no
52,technician,married,secondary,2823,yes,no,cellular,42,37,249,18,unknown,no
88,technician,divorced,tertiary,2894,yes,no,unknown,14,8,155,17,unknown,no
89,entrepreneur,married,secondary,-1888,yes,yes,unknown,498,30,295,7,unknown,no
65,housemaid,single,secondary,2457,no,yes,telephone,1080,20,106,16,unknown,yes
71,housemaid,married,tertiary,3207,no,no,cellular,90,1,228,2,unknown,no
53,housemaid,married,tertiary,1863,yes,no,cellular,51,49,148,15,failure,no
23,blue-collar,single,secondary,2552,no,no,cellular,7,7,317,16,other,no
88,retired,divorced,tertiary,1922,yes,no,cellular,66,11,288,3,success,yes
29,technician,single,secondary,-924,no,yes,telephone,157,39,180,16,unknown,no
76,unemployed,single,tertiary,19,yes,no,cellular,133,7,240,16,unknown,no
82,admin,married,secondary,1933,no,no,cellular,95,36,203,3,unknown,no
67,admin,married,tertiary,1184,no,no,unknown,80,20,285,5,unknown,no
60,unemployed,married,secondary,-562,yes,no,cellular,688,33,195,11,unknown,no
60,housemaid,single,tertiary,-652,yes,yes,cellular,124,47,38,19,failure,no
66,student,single,secondary,1215,yes,no,unknown,1,34,138,6,unknown,no
93,blue-collar,married,primary,-2768,no,no,cellular,216,23,107,7,failure,no
72,admin,married,secondary,-70,no,yes,unknown,157,24,367,17,unknown,no
67,student,divorced,tertiary,5169,yes,no,cellular,30,9,142,4,unknown,no
38,retired,married,primary,2239,no,yes,telephone,221,23,48,5,unknown,no
30,entrepreneur,married,tertiary,63,yes,no,unknown,3,46,214,16,failure,no
59,housemaid,married,tertiary,49,no,no,cellular,232,48,196,12,unknown,no
32,admin,married,primary,8659,no,no,cellular,29,17,217,14,unknown,no
67,student,divorced,secondary,1319,yes,no,unknown,750,39,137,3,unknown,yes
18,unemployed,married,primary,3039,yes,no,cellular,128,34,78,5,success,yes
68,admin,single,secondary,-749,no,no,cellular,1,6,297,1,unknown,no
51,blue-collar,married,secondary,2902,no,yes,cellular,327,3,343,6,failure,yes
59,blue-collar,married,secondary,-2713,no,no,unknown,313,38,291,8,unknown,no
79,retired,married,secondary,223,no,no,cellular,259,38,44,18,failure,no
49,management,married,tertiary,556,no,no,cellular,138,8,335,16,unknown,no
78,retired,married,secondary,-5064,yes,no,cellular,44,40,9,3,other,no
71,admin,married,secondary,2826,no,yes,cellular,183,9,353,2,unknown,no
91,retired,single,secondary,-84,yes,no,cellular,339,15,359,4,unknown,no
75,retired,single,tertiary,3894,yes,no,unknown,122,30,377,15,failure,no
41,student,single,secondary,650,no,no,unknown,12,49,397,18,unknown,no
44,blue-collar,married,tertiary,-1514,no,yes,cellular,665,4,196,1,unknown,no
38,retired,single,secondary,3009,no,no,unknown,203,29,17,8,unknown,no
35,unemployed,married,secondary,1009,yes,no,unknown,721,33,376,10,unknown,yes
72,unemployed,married,tertiary,1546,yes,no,telephone,37,6,263,14,failure,no
85,blue-collar,single,secondary,2983,yes,yes,cellular,40,29,350,12,unknown,no
64,management,married,secondary,2073,no,no,cellular,19,19,107,5,success,yes
71,student,married,secondary,-485,no,yes,cellular,42,37,59,5,unknown,no
35,management,single,secondary,-3701,no,no,cellular,20,27,337,17,unknown,no
90,entrepreneur,married,secondary,-1441,yes,no,unknown,57,11,140,7,unknown,no
81,admin,married,secondary,866,no,no,cellular,156,42,228,4,success,yes
66,student,single,secondary,1350,no,no,unknown,308,9,138,9,unknown,yes
52,technician,married,tertiary,5772,yes,no,cellular,18,16,258,8,unknown,no
56,retired,divorced,secondary,7685,yes,yes,unknown,30,18,399,6,success,yes
75,student,married,secondary,1067,yes,yes,telephone,61,13,71,0,unknown,no
74,unemployed,married,secondary,2732,yes,no,unknown,75,7,208,11,unknown,no
23,blue-collar,single,secondary,34,yes,no,unknown,395,17,312,16,unknown,no
37,management,married,secondary,-604,no,no,cellular,46,9,229,3,unknown,no
67,entrepreneur,married,tertiary,776,no,no,unknown,24,32,12,1,unknown,no
26,blue-collar,married,secondary,-387,no,no,unknown,372,26,48,19,unknown,no
93,entrepreneur,married,secondary,-845,no,no,cellular,385,42,290,17,unknown,no
31,housemaid,married,primary,-226,yes,no,cellular,276,22,300,14,unknown,no
40,blue-collar,married,tertiary,-637,yes,no,cellular,86,45,359,8,unknown,no
65,blue-collar,married,secondary,1456,yes,no,cellular,439,28,135,15,unknown,yes
73,technician,married,primary,1865,no,no,cellular,104,16,338,7,unknown,no
57,entrepreneur,single,tertiary,-2018,no,no,cellular,282,36,169,11,unknown,no
86,entrepreneur,divorced,secondary,2483,yes,no,cellular,102,25,119,6,unknown,no
56,housemaid,married,tertiary,1165,no,yes,cellular,118,28,78,7,unknown,no
91,management,married,secondary,804,yes,no,unknown,354,29,245,9,unknown,no
60,entrepreneur,single,tertiary,2410,yes,no,cellular,0,42,318,14,failure,no
48,retired,married,primary,5953,no,yes,cellular,57,1,384,6,unknown,no
87,entrepreneur,married,secondary,1000,yes,no,cellular,185,31,58,9,other,no
20,technician,married,secondary,-1380,no,yes,cellular,459,30,76,19,unknown,no
21,housemaid,single,secondary,2976,no,no,cellular,2,40,316,6,unknown,no
44,management,married,tertiary,3058,no,no,unknown,112,25,253,9,unknown,no
44,entrepreneur,married,tertiary,2213,no,no,cellular,130,18,274,9,unknown,no
64,management,single,primary,1334,no,no,cellular,1334,37,56,5,unknown,yes
77,student,single,secondary,-1885,no,no,cellular,214,43,62,14,other,no
53,entrepreneur,divorced,tertiary,-2025,no,no,unknown,24,9,7,19,unknown,no
63,entrepreneur,married,secondary,270,yes,no,cellular,145,15,42,15,unknown,no
78,admin,single,primary,-1652,yes,yes,cellular,30,29,152,4,unknown,no
59,blue-collar,married,tertiary,3852,no,no,unknown,233,37,281,3,unknown,no
24,housemaid,single,tertiary,-3310,yes,no,cellular,81,5,258,17,unknown,no
47,unemployed,married,secondary,1242,no,no,unknown,194,44,276,8,unknown,no
67,entrepreneur,single,tertiary,985,yes,no,cellular,404,9,139,4,unknown,no
64,management,married,tertiary,3109,yes,yes,unknown,282,37,26,10,unknown,no
57,unemployed,married,secondary,3585,no,no,cellular,286,10,247,12,unknown,no
22,housemaid,married,tertiary,-899,no,no,unknown,59,25,384,5,unknown,no
87,housemaid,married,secondary,5297,no,no,unknown,160,38,170,0,failure,no
75,retired,divorced,tertiary,-1747,yes,no,cellular,37,10,181,3,success,yes
61,student,single,tertiary,4017,yes,no,cellular,44,38,53,14,unknown,no
88,retired,single,secondary,3214,no,yes,unknown,221,20,116,19,unknown,no
49,housemaid,married,secondary,-4042,yes,no,cellular,94,42,329,17,unknown,no
94,student,married,tertiary,-1767,yes,no,unknown,394,9,268,16,unknown,no
91,entrepreneur,single,secondary,4141,yes,no,cellular,120,3,274,8,unknown,no
57,entrepreneur,single,secondary,1924,yes,no,telephone,12,43,350,14,unknown,no
74,student,married,tertiary,1617,yes,no,cellular,96,11,115,3,unknown,no
28,retired,married,secondary,-6362,yes,no,unknown,25,4,93,10,unknown,no
57,blue-collar,married,secondary,906,yes,no,cellular,935,49,205,11,unknown,no
64,admin,married,primary,-589,yes,no,cellular,4,28,57,11,unknown,no
19,retired,married,secondary,-2319,no,no,cellular,148,41,31,3,failure,no
69,unemployed,divorced,secondary,3472,yes,no,cellular,81,38,361,7,failure,no
89,entrepreneur,married,primary,1555,no,no,cellular,168,11,48,11,failure,no
66,unemployed,married,secondary,-1156,no,no,cellular,139,32,101,19,unknown,no
76,retired,single,secondary,-874,no,no,unknown,450,18,356,5,unknown,no
55,housemaid,single,tertiary,1743,yes,no,cellular,36,40,141,12,unknown,no
33,blue-collar,single,primary,2815,yes,no,cellular,22,46,45,4,unknown,no
44,unemployed,married,secondary,3671,no,no,cellular,367,19,356,13,other,yes
91,management,married,primary,3027,yes,no,cellular,483,16,91,14,unknown,yes
45,management,single,secondary,1330,no,yes,cellular,78,3,188,16,unknown,no
83,blue-collar,married,secondary,-1114,no,no,cellular,563,13,19,14,unknown,no
62,management,single,tertiary,2448,no,yes,cellular,75,49,152,10,failure,no
50,retired,married,primary,-1545,no,no,unknown,158,37,188,13,unknown,no
77,blue-collar,divorced,tertiary,1729,yes,no,telephone,197,48,26,12,success,yes
67,admin,married,tertiary,936,yes,yes,unknown,919,30,248,8,unknown,no
63,retired,married,secondary,3826,yes,yes,cellular,33,14,324,19,unknown,no
52,unemployed,married,secondary,3595,no,no,cellular,62,36,242,19,unknown,no
58,unemployed,divorced,primary,3181,no,no,cellular,142,6,238,3,unknown,no
75,unemployed,married,secondary,2864,no,no,unknown,43,32,48,15,unknown,no
94,management,married,secondary,1141,no,no,unknown,156,41,16,17,failure,no
72,admin,single,primary,6090,no,no,cellular,271,40,130,2,unknown,no
22,entrepreneur,married,secondary,3199,no,no,cellular,380,32,181,12,unknown,yes
22,technician,single,secondary,5889,yes,yes,cellular,73,12,135,14,unknown,no
39,unemployed,single,tertiary,4601,no,yes,unknown,34,43,54,19,unknown,no
51,housemaid,married,secondary,162,yes,no,cellular,208,39,224,16,unknown,no
82,entrepreneur,married,tertiary,-255,yes,no,unknown,208,25,158,7,unknown,no
76,blue-collar,married,secondary,2903,no,no,cellular,103,25,263,19,failure,no
34,management,divorced,secondary,-2167,no,no,cellular,162,8,320,19,unknown,no
68,blue-collar,single,secondary,362,no,no,cellular,288,42,4,5,failure,no
66,unemployed,divorced,tertiary,-633,yes,no,cellular,237,35,370,13,unknown,no
26,unemployed,married,secondary,1347,yes,no,cellular,201,6,132,1,unknown,no
91,entrepreneur,married,secondary,-4964,yes,yes,cellular,195,43,33,3,unknown,no
32,housemaid,married,secondary,7860,yes,yes,unknown,231,4,238,11,unknown,no
46,unemployed,divorced,secondary,3531,yes,no,unknown,168,44,-1,1,unknown,no
70,admin,single,primary,4537,yes,no,telephone,15,35,317,15,unknown,no
42,student,divorced,secondary,1888,no,yes,cellular,157,26,9,11,unknown,no
45,blue-collar,single,primary,5033,yes,no,cellular,396,31,293,2,unknown,yes
40,unemployed,married,tertiary,3110,no,no,unknown,6,21,333,10,unknown,no
20,entrepreneur,married,secondary,3905,yes,no,cellular,91,24,7,12,unknown,no
50,retired,married,secondary,2894,yes,no,cellular,89,10,152,8,unknown,no
88,management,single,tertiary,5508,no,no,unknown,52,7,92,0,unknown,no
86,blue-collar,married,secondary,-679,no,yes,cellular,153,26,316,3,success,yes
34,unemployed,divorced,secondary,6121,no,no,unknown,33,28,36,13,unknown,no
84,entrepreneur,single,primary,939,yes,no,cellular,446,2,212,15,other,no
84,retired,divorced,tertiary,-984,no,no,cellular,30,44,30,7,unknown,no
51,unemployed,married,primary,2739,no,no,cellular,603,14,109,12,unknown,yes
25,technician,married,primary,-1901,yes,no,unknown,2,7,151,19,unknown,no
62,management,divorced,secondary,-38,yes,no,cellular,120,17,360,0,unknown,no
77,retired,single,secondary,590,yes,no,cellular,6,15,340,9,unknown,no
73,entrepreneur,married,secondary,765,yes,no,cellular,377,22,189,3,unknown,no
87,management,married,tertiary,4347,yes,no,cellular,288,32,133,6,failure,no
39,retired,married,secondary,3910,yes,no,cellular,45,26,50,10,unknown,no
50,entrepreneur,married,secondary,492,yes,yes,cellular,26,23,398,2,unknown,no
67,blue-collar,single,primary,2752,yes,no,cellular,42,26,237,4,unknown,no
88,unemployed,divorced,tertiary,7765,yes,no,cellular,14,24,75,11,unknown,no
63,student,married,tertiary,-2205,yes,no,cellular,48,22,252,10,unknown,no
69,housemaid,single,secondary,-1599,yes,no,cellular,12,27,209,0,unknown,no
91,entrepreneur,married,secondary,1566,yes,no,cellular,344,21,152,11,unknown,yes
83,housemaid,married,tertiary,9581,yes,no,cellular,345,37,189,8,unknown,yes
38,unemployed,married,tertiary,-1058,yes,no,unknown,143,43,65,15,unknown,no
41,unemployed,single,primary,-336,no,no,cellular,454,8,340,10,unknown,no
65,retired,single,secondary,3107,yes,no,unknown,77,14,22,2,unknown,no
30,unemployed,married,tertiary,4275,no,no,cellular,35,2,26,7,unknown,no
81,unemployed,married,secondary,1444,yes,no,cellular,65,7,316,17,unknown,no
22,retired,married,tertiary,2108,yes,no,cellular,23,27,119,3,unknown,no
35,management,married,secondary,1380,no,no,cellular,311,8,156,8,unknown,yes
92,entrepreneur,married,primary,1964,no,no,cellular,257,4,46,3,unknown,no
54,admin,married,secondary,-2945,yes,no,cellular,37,10,293,0,unknown,no
71,housemaid,married,secondary,1947,no,no,cellular,141,46,336,2,unknown,no
49,admin,single,tertiary,1531,yes,no,cellular,59,47,71,10,unknown,no
45,admin,married,secondary,2518,yes,no,cellular,25,10,60,9,unknown,no
62,retired,married,secondary,-202,yes,no,cellular,50,16,20,17,unknown,no
45,management,married,tertiary,2929,yes,no,unknown,164,3,278,15,unknown,no
82,student,married,tertiary,3868,no,no,cellular,189,23,313,13,unknown,no
87,admin,married,secondary,9019,yes,no,cellular,37,2,179,7,failure,no
92,admin,single,secondary,15,yes,no,cellular,267,1,145,10,unknown,no
59,technician,married,secondary,-1522,yes,no,unknown,153,11,43,0,unknown,no
50,retired,married,secondary,1952,yes,yes,telephone,100,48,71,10,unknown,no
33,technician,married,secondary,2985,no,no,unknown,187,44,179,12,unknown,no
30,retired,married,secondary,1780,yes,no,cellular,72,37,343,12,failure,no
38,retired,married,primary,1807,no,no,cellular,55,20,8,1,unknown,no
76,student,single,secondary,-244,no,no,cellular,469,21,44,0,unknown,no
64,blue-collar,married,secondary,-3269,yes,no,cellular,413,30,327,13,unknown,no
56,entrepreneur,married,primary,5170,yes,no,cellular,116,25,195,9,unknown,no
60,housemaid,married,secondary,6278,no,no,cellular,166,47,301,3,unknown,no
44,admin,single,primary,-786,yes,no,cellular,192,17,87,14,other,no
54,unemployed,married,secondary,-402,no,no,cellular,191,40,304,15,unknown,no
20,unemployed,married,primary,-3337,no,no,unknown,135,23,129,0,unknown,no
93,housemaid,married,tertiary,228,yes,yes,cellular,67,19,75,14,failure,no
24,admin,married,secondary,2451,no,no,cellular,396,44,203,12,unknown,yes
75,admin,married,tertiary,-516,yes,no,cellular,148,21,338,4,other,no
37,retired,married,secondary,3685,yes,no,cellular,428,7,343,7,unknown,yes
82,blue-collar,married,secondary,-1405,yes,no,cellular,317,6,59,10,unknown,no
91,admin,married,tertiary,3314,no,no,unknown,188,2,314,14,unknown,no
31,blue-collar,married,secondary,2353,yes,no,telephone,223,3,24,7,failure,no
66,student,single,secondary,390,no,yes,cellular,435,41,399,9,unknown,no
91,housemaid,single,secondary,661,no,yes,cellular,179,11,253,12,unknown,no
54,student,single,secondary,3563,yes,no,cellular,113,22,380,10,success,yes
23,student,married,secondary,9615,yes,no,unknown,105,48,252,11,unknown,no
23,housemaid,divorced,primary,1043,yes,no,unknown,703,42,312,12,unknown,yes
45,blue-collar,divorced,secondary,4416,yes,no,cellular,250,48,231,12,other,no
30,unemployed,married,secondary,6329,no,no,cellular,200,9,119,17,other,no
30,entrepreneur,married,secondary,-559,yes,no,cellular,18,20,161,0,unknown,no
27,admin,married,secondary,-1241,no,no,unknown,159,2,177,14,unknown,no
56,technician,single,secondary,1454,yes,no,cellular,37,16,214,7,unknown,no
40,housemaid,married,tertiary,1956,no,no,unknown,88,26,91,8,success,yes
54,unemployed,married,tertiary,2942,yes,yes,cellular,146,23,51,11,unknown,no
25,technician,single,primary,-974,yes,yes,telephone,1,14,81,8,unknown,no
77,student,divorced,tertiary,3666,yes,no,telephone,356,21,95,9,unknown,yes
22,unemployed,married,secondary,-1934,yes,no,cellular,103,23,61,12,unknown,no
44,blue-collar,divorced,secondary,1368,no,no,cellular,175,12,372,9,unknown,no
36,housemaid,married,secondary,2371,no,yes,cellular,40,4,183,19,unknown,no
60,management,single,secondary,-2705,yes,no,unknown,217,17,301,18,unknown,no
60,management,married,secondary,2709,yes,no,telephone,66,31,38,3,unknown,no
52,admin,married,secondary,744,no,no,unknown,130,28,38,18,failure,no
72,unemployed,married,tertiary,54,yes,no,cellular,70,39,283,17,unknown,no
78,unemployed,divorced,secondary,2344,yes,no,cellular,186,36,164,0,failure,no
64,management,single,secondary,-2974,yes,no,unknown,341,47,345,19,unknown,no
94,entrepreneur,married,secondary,2631,no,yes,cellular,184,14,218,10,unknown,no
73,technician,married,primary,-2193,yes,no,cellular,35,31,190,7,unknown,no
35,student,married,secondary,2487,yes,no,unknown,51,33,248,10,unknown,no
82,management,married,secondary,1747,no,no,telephone,133,9,378,5,unknown,no
70,admin,single,tertiary,5945,no,no,cellular,56,22,44,5,unknown,no
28,student,married,primary,5949,yes,yes,cellular,39,36,378,10,unknown,no
18,admin,married,primary,3740,yes,no,cellular,8,30,398,4,unknown,no
25,admin,single,secondary,1204,no,no,telephone,19,9,367,10,unknown,no
36,unemployed,married,secondary,1385,no,no,cellular,149,9,396,3,other,no
72,retired,married,secondary,-2014,no,no,cellular,38,12,85,7,unknown,no
33,student,married,secondary,-3983,yes,yes,cellular,124,28,298,10,unknown,no
83,blue-collar,single,secondary,4666,no,no,cellular,184,16,309,9,unknown,no
29,technician,married,tertiary,119,yes,no,cellular,51,37,150,10,unknown,no
91,student,married,tertiary,-1239,yes,no,cellular,537,49,62,18,unknown,no
79,management,married,secondary,-3911,no,yes,cellular,53,6,101,0,unknown,no
75,technician,single,tertiary,1819,no,no,unknown,31,9,199,7,unknown,no
