duration,src_bytes,dst_bytes,land,wrong_fragment,urgent,hot,num_failed_logins,logged_in,num_compromised,count,srv_count,protocol,intrusion
2.66,1070,923274,0,0,0,9,0,1,0,178,401,icmp,normal
3.3,813,131,0,0,0,0,0,1,0,194,443,udp,normal
0.15,5426,1779,0,0,0,15,0,1,0,33,191,tcp,normal
22.42,112556,804,0,0,0,13,0,1,0,177,392,tcp,normal
13.44,191,387,0,0,0,8,0,1,0,199,250,tcp,normal
1.5,436,459,0,0,0,6,0,1,0,394,153,tcp,normal
3.97,2220,878,0,0,0,22,0,0,0,412,395,tcp,normal
6.54,12602,1625,0,0,0,24,0,0,0,89,474,tcp,normal
6.81,1380,2323,0,0,0,6,0,1,0,351,410,tcp,normal
9.05,9569,2977,0,0,0,0,0,1,0,172,492,tcp,normal
6.39,167,66,0,0,0,19,0,1,0,382,414,icmp,normal
10.46,3278,285,0,0,0,24,0,0,2,269,190,udp,normal
21.53,2899,3244,0,0,0,21,0,1,0,509,497,tcp,normal
5.08,68630,19507,0,0,0,13,0,1,0,223,138,tcp,normal
20.93,28815,2847,0,0,0,7,0,1,0,29,475,tcp,normal
2.48,3747,601,0,0,0,2,0,1,0,40,137,tcp,normal
1.29,445,2825,0,0,0,5,0,1,0,393,474,icmp,normal
2.74,27,1828,0,0,0,14,0,0,0,223,196,tcp,normal
2.31,507,134,0,0,0,19,0,1,0,233,5,icmp,normal
42.05,236272,770,0,0,0,14,0,1,1,413,357,tcp,normal
4.8,79,1547,0,0,0,7,0,1,0,132,118,udp,normal
10.54,479,4625,0,0,0,18,0,1,0,337,16,tcp,normal
11.91,3848,18836,0,0,0,4,0,0,0,465,333,udp,normal
5.89,37494,39300,0,0,0,12,0,0,0,403,258,tcp,normal
2.53,231,38,0,0,0,1,0,1,0,371,274,icmp,normal
5.76,7541,752,1,0,0,11,0,0,0,432,475,tcp,normal
6.42,618,21843,0,0,0,15,0,1,0,195,293,tcp,normal
30.79,260,5149,0,0,0,6,0,1,0,250,229,udp,normal
8.41,906,5677,0,0,0,8,0,1,0,481,305,udp,normal
35.02,2723,255,0,0,0,20,0,0,0,101,265,udp,normal
8.6,235,276,0,0,0,11,0,1,0,426,194,tcp,normal
1.57,27749,4096,0,0,0,24,0,0,0,370,158,tcp,normal
4.85,54135,421,0,0,0,14,0,1,1,466,55,udp,normal
15.72,720,113,0,0,0,12,0,1,0,469,274,udp,normal
5.48,14138,1344,0,0,0,1,0,1,0,314,168,tcp,normal
1.05,140,745,0,0,0,7,0,1,0,344,108,tcp,normal
1.01,2060,6232,0,0,0,18,0,0,0,59,294,tcp,normal
2.71,15914,2496,0,0,0,9,0,1,0,144,13,tcp,normal
8.32,12511,52514,0,0,0,4,0,1,0,382,125,tcp,normal
17.73,3989,151,0,0,0,18,0,0,0,223,472,tcp,normal
7.63,32831,1196,0,0,0,20,0,1,0,106,26,udp,normal
13.71,683,3399,0,0,0,20,0,0,0,60,31,tcp,normal
10.37,3553,3154,0,0,0,0,0,1,0,195,55,tcp,normal
7.43,3309,1832,0,0,0,27,0,1,0,401,256,icmp,normal
2.42,6909,33,0,0,0,7,0,0,0,192,503,udp,normal
21.47,10011,21,0,0,0,13,0,1,1,289,320,tcp,normal
3.23,223,127,0,1,0,22,0,0,0,371,75,tcp,normal
2.91,11684,2959,0,0,0,7,0,0,0,455,392,tcp,normal
2.98,267,24,0,0,0,2,0,0,0,104,352,tcp,normal
1.01,18788,4112,0,0,0,22,0,1,0,150,473,tcp,normal
6.9,98998,598,0,0,0,13,0,0,0,263,120,tcp,normal
3.97,1094,560,0,0,0,6,0,0,0,353,469,tcp,normal
7.38,455,53402,0,0,0,1,0,0,0,261,31,tcp,normal
6.04,82935,39188,0,0,0,18,0,1,0,141,211,tcp,normal
7.34,2605,285,0,0,0,27,0,1,0,222,142,udp,normal
3.53,202,5166,0,0,0,5,0,1,0,266,57,icmp,normal
16.88,474,1183,0,0,0,3,0,0,0,142,216,tcp,normal
7.64,528,6068,0,0,0,19,0,1,0,71,334,icmp,normal
2.34,33167,501,0,0,0,0,0,0,0,159,76,tcp,normal
23.21,394,75,0,0,0,28,0,1,0,260,272,udp,normal
1.16,27,1008,0,0,0,23,0,1,0,366,255,tcp,normal
13.22,2696,5557,0,0,0,17,0,1,2,48,479,tcp,normal
11.35,5379,831,0,0,0,5,0,0,0,63,158,tcp,normal
0.76,9356,5711,0,0,0,9,0,1,0,106,278,udp,normal
23.18,13,14005,0,1,0,25,0,1,0,128,178,tcp,normal
3.8,2062,11584,0,0,0,14,0,1,0,260,99,udp,normal
13.51,1260,2808,0,0,0,26,0,1,0,462,401,tcp,normal
3.24,6900,78,0,0,0,16,0,0,0,207,167,tcp,normal
7.46,56,21,0,0,0,0,0,0,1,57,472,icmp,normal
35.88,4026,3562,0,0,0,14,0,0,0,35,170,tcp,normal
9.44,4285,5234,0,0,0,25,0,0,0,354,119,udp,normal
3.51,28873,1119,0,0,0,1,0,0,0,142,474,udp,normal
6.13,6047,1856,0,0,0,21,0,0,2,77,279,tcp,normal
11.27,11981,907,0,0,0,3,0,1,0,408,453,tcp,normal
5.89,250,1258,0,0,0,26,0,1,0,23,448,tcp,normal
24.16,2404,2351,0,0,0,7,0,0,0,378,393,tcp,normal
20.21,40278,6689,0,0,0,6,0,1,0,437,354,udp,normal
1.59,1098,1372,0,0,0,3,0,1,0,115,240,tcp,normal
15.37,14002,1137,0,0,0,12,0,1,3,208,485,tcp,normal
28.54,429,822,0,0,0,19,0,1,2,99,136,tcp,normal
3.81,1865,1742,0,0,0,28,0,0,0,27,64,udp,normal
2.72,116,19,0,0,0,15,0,1,0,98,40,icmp,normal
0.1,2480,6815,0,0,0,20,0,1,0,510,399,tcp,normal
1.23,547,748,0,0,0,27,0,1,0,469,474,tcp,normal
32.42,29105,228,0,0,0,14,0,1,1,264,217,tcp,normal
4.96,172119,17226,0,0,0,6,0,1,1,161,82,tcp,normal
4.9,93,633,0,0,0,14,0,1,0,476,396,tcp,normal
3.1,247,135,0,0,0,9,0,1,2,91,400,tcp,normal
1.79,18691,4838,0,0,0,27,0,1,0,273,28,tcp,normal
7.11,636,422,0,0,0,28,0,1,0,442,188,icmp,normal
12.84,2487,517,0,0,0,8,0,0,0,108,412,icmp,normal
8.0,60530,6090,0,1,0,20,0,1,0,62,408,tcp,normal
0.36,64037,7858,0,0,0,29,0,0,0,78,358,udp,normal
16.27,216,74,0,0,0,18,0,1,0,286,131,udp,normal
26.82,140610,934,0,0,0,24,0,1,0,249,151,tcp,normal
5.8,11273,60,0,0,0,11,0,1,0,46,466,tcp,normal
4.56,22064,463,0,0,0,12,1,1,1,126,354,udp,attack
2.61,775,225,0,0,0,13,0,1,0,401,346,udp,normal
3.59,632,9001,0,0,0,0,0,1,0,486,306,tcp,normal
10.34,90,123,0,0,0,1,0,0,0,195,445,tcp,normal
14.7,245,3259,0,0,0,19,0,1,0,313,131,tcp,normal
4.04,11632,604,0,0,0,12,0,0,0,134,359,tcp,normal
4.15,7428,45,0,0,0,21,0,1,0,184,290,tcp,normal
6.0,14302,210,0,0,0,2,0,1,1,473,413,tcp,normal
1.87,4737,81,0,0,0,25,0,1,0,70,342,tcp,normal
26.2,2822,213,0,0,0,2,0,1,0,356,91,udp,normal
12.22,725,145,0,0,0,8,0,1,1,103,301,tcp,normal
5.68,1677,566,0,0,0,18,0,1,0,356,360,tcp,normal
1.3,17816,7457,0,0,0,20,0,1,0,434,220,tcp,normal
18.89,15120,199,0,0,0,28,0,1,0,67,408,tcp,normal
6.61,4902,113,0,0,0,18,0,1,0,163,340,udp,normal
15.94,453,327,0,0,0,0,0,0,0,111,293,icmp,normal
0.34,1129,599,0,0,0,20,0,0,0,249,418,tcp,normal
3.2,198,231,0,0,0,14,0,1,0,403,91,tcp,normal
9.73,1447,82,0,0,0,4,0,1,0,331,305,tcp,normal
6.69,104,4942,0,0,0,10,0,1,0,143,80,tcp,normal
3.5,1509,3474,0,0,0,2,0,0,0,293,149,tcp,normal
2.25,780,899,0,0,0,24,0,0,0,96,271,tcp,normal
3.59,2893,22407,0,0,0,25,0,1,0,415,13,tcp,normal
13.56,624,154292,0,0,0,11,0,1,0,439,400,udp,normal
2.03,12851,15599,0,0,0,27,0,1,0,342,189,tcp,normal
9.01,111,16,0,0,0,3,0,1,0,71,490,tcp,normal
5.51,122,2045,0,0,0,2,0,1,2,385,29,tcp,normal
14.4,1732,228,0,0,0,12,0,0,0,352,185,icmp,normal
2.25,5044,535,0,0,0,20,0,1,0,310,292,tcp,normal
3.15,1306,44,0,0,0,29,0,1,0,341,300,udp,normal
5.09,1547,1854,0,0,0,22,0,1,0,162,399,tcp,normal
1.82,3593,34986,0,0,0,1,0,0,0,231,11,tcp,normal
6.18,8053,962,0,0,0,14,0,1,0,244,267,udp,normal
5.38,1268,8363,0,0,0,4,0,0,1,328,28,tcp,normal
46.14,4355,2181,0,0,0,2,0,0,0,411,337,tcp,normal
9.01,21299,5045,0,0,0,8,0,0,0,299,321,tcp,normal
0.72,192,11,0,0,0,23,0,0,0,87,250,tcp,normal
6.16,37406,2599,0,0,0,8,0,1,0,400,236,udp,normal
21.08,32127,5984,0,0,0,21,0,0,0,381,340,tcp,normal
20.16,559,33093,0,0,0,19,0,1,0,511,59,udp,normal
32.65,8443,61,0,0,0,27,0,1,0,206,370,udp,normal
22.46,138,29206,0,0,0,8,0,0,1,371,52,tcp,normal
1.94,5448,566,0,0,0,3,0,1,0,508,99,tcp,normal
0.04,45699,1599,0,0,0,3,0,1,0,25,59,icmp,normal
9.58,368,7242,0,0,0,1,0,1,2,69,270,udp,normal
12.12,653,6974,0,0,0,14,1,0,0,3,35,tcp,attack
1.41,6139,34,0,0,0,14,0,0,2,196,3,tcp,normal
1.83,1490,1383,0,0,0,16,0,1,0,203,192,udp,normal
32.99,4369,131,0,0,0,9,0,1,0,72,351,tcp,normal
28.79,395617,1222,0,0,0,29,0,1,0,443,497,udp,normal
1.71,1300,324,0,0,0,3,0,0,0,353,39,tcp,normal
2.84,129,39,0,0,0,12,0,1,0,189,485,tcp,normal
22.27,796,144,0,0,0,5,0,1,0,342,224,udp,normal
5.71,4315,3368,0,0,0,19,4,1,0,271,327,udp,attack
16.0,230,2195,0,0,0,15,0,0,0,317,451,tcp,normal
5.04,758,121,0,0,0,19,0,1,0,396,345,tcp,normal
13.33,31805,347,0,0,0,1,0,0,0,63,94,tcp,normal
5.06,77961,1799,0,0,0,15,0,0,0,408,93,icmp,normal
22.94,1354,1963,0,0,0,2,0,1,0,71,17,tcp,normal
3.94,1428,4241,0,0,0,29,0,0,0,24,149,tcp,normal
7.4,256,1741,0,0,0,18,0,1,0,78,400,tcp,normal
7.38,4951,3576,0,0,0,28,0,0,0,446,249,tcp,normal
10.47,355059,961,0,0,0,6,0,1,0,13,306,tcp,normal
3.66,1426,2979,0,0,0,3,0,0,0,266,409,udp,normal
10.29,1530,27161,0,0,0,14,0,0,0,193,42,tcp,normal
1.52,8043,25422,0,0,0,2,0,1,0,371,87,tcp,normal
22.41,1207,1180,0,0,0,20,0,1,1,261,221,udp,normal
1.56,1250,105,0,0,0,3,0,0,0,354,391,tcp,normal
18.34,47260,16134,0,0,0,0,0,1,0,109,388,tcp,normal
11.81,224,9,0,0,0,5,0,1,0,511,60,tcp,normal
4.17,341,3103,0,0,0,20,0,1,0,303,67,udp,normal
3.97,10802,2893,0,0,0,22,0,0,0,363,174,udp,normal
33.83,2209,1206,0,0,0,23,0,1,3,501,255,udp,normal
2.17,346,2422,0,0,0,2,0,1,0,136,61,tcp,normal
12.84,5334,78,0,0,0,19,0,0,0,51,198,tcp,normal
2.03,1529,134,0,0,0,20,0,1,0,206,1,tcp,normal
23.58,4198,84,0,0,0,7,0,0,0,364,355,tcp,normal
13.55,1693,108,0,0,0,25,0,0,0,37,287,udp,normal
26.99,154,268,0,0,0,14,0,1,0,81,457,tcp,normal
21.13,24802,769,0,0,0,6,0,1,0,171,228,tcp,normal
7.97,87965,8063,0,0,0,6,0,1,1,214,347,tcp,normal
1.65,472,54852,0,0,0,13,0,1,0,185,125,udp,normal
2.5,74681,209,0,0,0,4,0,1,0,300,287,icmp,normal
2.25,2411,943,0,0,0,26,0,1,2,449,421,udp,normal
2.49,6,1335,0,0,0,14,0,1,0,177,475,tcp,normal
6.47,6975,185,0,0,0,3,1,0,0,295,374,tcp,attack
20.23,36,434,0,0,0,16,0,0,0,204,270,tcp,normal
0.23,1121,32360,0,0,0,5,0,1,0,376,472,udp,normal
2.72,12247,12019,0,0,0,24,0,1,0,30,323,tcp,normal
9.08,7708,15381,0,0,0,12,0,1,0,221,249,icmp,normal
20.05,705,3315,0,0,0,17,0,0,0,336,296,tcp,normal
3.53,10462,5982,0,0,0,16,0,1,0,236,265,udp,normal
4.82,18084,2268,0,1,0,9,0,0,0,322,373,tcp,normal
4.67,893,26816,0,0,0,20,0,1,0,51,301,udp,normal
3.48,1506,3,0,3,0,19,0,0,0,335,279,tcp,normal
12.0,4438,122,0,0,0,13,0,1,0,302,235,tcp,normal
10.67,294,57,0,0,0,19,0,0,0,392,150,tcp,normal
18.53,589,280,0,0,0,0,0,1,2,390,415,icmp,normal
24.96,21990,1218,0,0,0,0,0,1,0,187,50,icmp,normal
23.07,295140,822,0,0,0,16,0,1,0,118,191,tcp,normal
7.77,10048,198,0,0,0,7,0,0,0,102,187,udp,normal
2.05,5061,1538,0,0,0,16,0,1,1,261,467,udp,normal
2.51,115731,2190,0,0,0,20,0,0,0,334,416,udp,normal
8.92,467,3157,0,0,0,9,0,1,0,324,190,icmp,normal
25.06,3516,5033,0,0,0,5,0,1,0,111,12,udp,normal
7.56,15633,314,0,0,0,6,0,1,0,387,262,udp,normal
27.45,566,8127,0,0,0,26,0,1,0,288,32,tcp,normal
3.04,112,948,0,0,0,20,0,1,0,216,136,tcp,normal
0.9,15456,4944,0,0,0,15,0,0,0,115,419,tcp,normal
15.91,20022,310,0,0,0,24,0,1,1,318,335,tcp,normal
21.15,16104,33953,0,0,0,16,0,0,0,472,476,udp,normal
5.94,16685,3007,0,0,0,29,0,1,1,286,497,tcp,normal
1.08,3565,1373,0,0,0,6,0,0,0,305,314,udp,normal
0.43,3964,96,0,0,0,5,0,1,0,140,22,tcp,normal
0.65,4720,9637,0,0,0,24,0,0,0,89,315,tcp,normal
5.78,27345,125,0,0,0,10,0,0,0,434,302,icmp,normal
2.68,5211,92446,0,0,0,5,0,1,0,466,95,tcp,normal
6.2,3541,4748,0,0,0,29,0,1,1,402,9,udp,normal
6.7,5814,80,0,0,0,17,0,1,0,93,43,tcp,normal
6.13,7273,1679,0,0,0,8,0,1,0,303,3,tcp,normal
9.67,358,56060,0,0,0,3,0,0,0,63,192,udp,normal
11.38,47900,1067,0,0,0,8,0,1,0,428,73,icmp,normal
5.04,792,535,0,0,0,2,0,1,0,405,195,tcp,normal
4.11,3440,2042,0,0,0,26,0,0,0,432,498,tcp,normal
4.6,456,242,0,0,0,2,0,1,0,322,467,tcp,normal
0.73,1987,15809,0,0,0,13,0,1,0,288,196,tcp,normal
3.88,8713,197,0,0,0,26,0,1,0,350,6,udp,normal
2.23,5569,2601,0,0,0,20,0,0,0,173,233,tcp,normal
3.44,1019,13378,0,0,0,23,0,1,2,179,332,tcp,normal
12.53,753,1227,0,0,0,24,0,0,0,53,354,tcp,normal
44.69,5012,14500,0,0,0,3,0,1,1,111,475,udp,normal
25.71,25881,752,0,0,0,12,0,1,0,252,201,udp,normal
17.24,52497,115,0,0,0,29,0,0,0,377,249,tcp,normal
13.36,167508,4839,0,0,0,15,0,1,0,156,28,tcp,normal
28.99,732,2150,0,0,0,7,0,1,0,345,298,tcp,normal
13.94,638,161,0,0,0,13,0,1,0,487,216,tcp,normal
6.37,2353,922,0,0,0,25,0,1,2,318,492,icmp,normal
9.2,2102,156,0,0,0,4,0,1,0,29,406,tcp,normal
3.65,170,1083,0,0,0,24,0,0,1,445,190,udp,normal
0.03,16004,105312,0,0,0,28,0,1,0,124,485,tcp,normal
4.36,632,7464,0,0,0,2,0,1,1,392,98,udp,normal
5.19,818,3842,0,0,0,23,0,0,0,174,411,tcp,normal
13.21,7056,1536,0,0,0,14,0,1,0,31,373,udp,normal
19.61,273,8939,0,0,0,4,0,0,0,497,156,tcp,normal
32.88,1795,1280,0,0,0,13,0,1,2,322,460,udp,normal
4.34,13116,30,0,0,0,7,1,1,2,318,359,tcp,attack
31.56,3291,75,0,0,0,10,0,1,0,274,146,tcp,normal
16.06,13277,365,0,0,0,28,0,1,0,439,226,tcp,normal
0.31,21245,472,0,0,0,25,0,1,1,85,374,tcp,normal
9.05,2516,1154,0,0,0,0,0,1,0,421,390,tcp,normal
4.55,3,11775,0,0,0,24,0,1,2,486,284,tcp,normal
0.35,34812,2390,0,0,0,29,0,0,0,86,321,icmp,normal
7.58,2711,1565,0,0,0,20,0,0,0,158,339,icmp,normal
8.79,14491,120,0,0,0,18,0,0,0,339,146,tcp,normal
2.91,45899,805,0,0,0,1,0,0,0,277,336,tcp,normal
28.11,77,317,0,0,0,2,0,1,3,334,230,udp,normal
9.43,2957,141,0,0,0,16,0,1,0,141,433,udp,normal
