word_freq_make,word_freq_address,word_freq_all,word_freq_3d,word_freq_our,word_freq_over,word_freq_remove,word_freq_free,word_freq_money,capital_run_longest,capital_run_total,is_spam
0.073,0.171,0.196,0.005,0.576,0.101,0.014,0.061,0.185,9,10,ham
0.258,0.032,0.116,0.012,0.296,0.206,0.023,0.06,0.046,0,117,ham
0.08,0.043,0.133,0.013,0.494,0.165,0.006,0.141,0.042,3,101,ham
0.087,0.024,0.642,0.137,0.446,0.106,0.22,0.099,0.206,0,294,spam
0.051,0.088,0.264,0.028,0.106,0.184,0.004,0.204,0.2,2,42,spam
0.298,0.043,0.023,0.002,0.023,0.034,0.009,0.144,0.212,5,114,spam
0.15,0.107,0.048,0.007,0.058,0.101,0.033,0.041,0.085,2,239,spam
0.034,0.002,0.742,0.004,0.029,0.089,0.1,0.332,0.304,13,185,spam
0.186,0.007,0.259,0.044,0.084,0.097,0.022,0.128,0.171,5,158,spam
0.057,0.01,0.493,0.01,0.185,0.018,0.073,0.033,0.054,5,114,ham
0.176,0.054,0.072,0.035,0.712,0.032,0.056,0.037,0.099,2,279,ham
0.173,0.169,0.271,0.023,0.617,0.034,0.051,0.319,0.013,0,208,spam
0.021,0.219,0.25,0.081,0.38,0.092,0.093,0.243,0.08,7,415,spam
0.121,0.028,0.07,0.019,0.007,0.36,0.001,0.141,0.031,6,264,ham
0.034,0.085,0.16,0.031,0.125,0.308,0.132,0.073,0.033,4,30,ham
0.035,0.146,0.197,0.064,0.344,0.026,0.088,0.123,0.013,3,193,ham
0.035,0.034,0.131,0.028,0.041,0.036,0.139,0.202,0.044,4,9,spam
0.129,0.053,0.351,0.079,0.484,0.004,0.079,0.423,0.066,7,98,spam
0.026,0.074,0.358,0.054,0.738,0.051,0.105,0.162,0.092,6,106,spam
0.0,0.014,0.38,0.026,0.131,0.18,0.011,0.065,0.036,5,386,ham
0.126,0.003,0.325,0.035,0.367,0.247,0.019,0.009,0.157,12,40,ham
0.019,0.017,0.134,0.171,0.048,0.027,0.019,0.039,0.074,5,206,ham
0.011,0.099,0.096,0.054,0.352,0.031,0.006,0.21,0.102,0,43,spam
0.027,0.008,0.356,0.118,0.007,0.025,0.065,0.035,0.033,5,594,ham
0.048,0.021,0.135,0.01,0.049,0.043,0.007,0.131,0.168,5,151,spam
0.065,0.041,0.057,0.033,0.371,0.163,0.003,0.24,0.098,0,246,spam
0.005,0.008,0.142,0.12,0.373,0.104,0.075,0.074,0.198,3,208,spam
0.353,0.021,0.031,0.019,0.307,0.154,0.118,0.221,0.017,5,72,spam
0.126,0.242,0.235,0.172,0.195,0.087,0.072,0.174,0.048,6,463,spam
0.039,0.002,0.082,0.005,0.337,0.03,0.087,0.116,0.012,11,197,spam
0.038,0.106,0.06,0.116,0.446,0.026,0.045,0.455,0.024,9,143,spam
0.06,0.049,0.627,0.029,1.019,0.001,0.109,0.236,0.05,1,150,spam
0.098,0.112,0.3,0.004,0.658,0.152,0.034,0.089,0.225,5,443,spam
0.016,0.089,0.309,0.106,0.475,0.188,0.223,0.326,0.081,5,12,spam
0.021,0.025,0.195,0.015,0.356,0.146,0.005,0.268,0.04,2,99,spam
0.196,0.188,0.365,0.001,0.256,0.008,0.083,0.314,0.137,1,369,spam
0.03,0.068,0.285,0.007,0.039,0.144,0.051,0.205,0.002,1,8,ham
0.048,0.173,0.183,0.054,0.054,0.005,0.043,0.095,0.046,1,204,ham
0.205,0.052,0.649,0.19,0.515,0.011,0.065,0.086,0.092,8,103,spam
0.109,0.418,0.043,0.006,0.488,0.058,0.092,0.212,0.088,1,46,spam
0.042,0.147,0.574,0.031,0.286,0.065,0.099,0.028,0.094,2,189,ham
0.115,0.338,0.103,0.01,0.173,0.169,0.01,0.343,0.024,1,356,spam
0.002,0.072,0.15,0.068,0.008,0.114,0.011,0.093,0.041,6,126,ham
0.133,0.064,0.026,0.006,0.119,0.017,0.001,0.199,0.268,1,32,spam
0.067,0.141,0.155,0.014,0.164,0.026,0.007,0.138,0.365,0,73,spam
0.168,0.212,0.189,0.011,0.2,0.034,0.015,0.147,0.037,2,796,spam
0.309,0.333,1.215,0.04,0.795,0.013,0.064,0.268,0.103,2,24,spam
0.26,0.039,0.739,0.103,0.035,0.034,0.032,0.197,0.028,3,35,ham
0.24,0.16,0.679,0.036,0.219,0.13,0.071,0.058,0.046,7,925,ham
0.072,0.024,0.086,0.003,0.138,0.028,0.033,0.015,0.157,0,428,spam
0.045,0.079,0.948,0.041,1.385,0.18,0.041,0.367,0.07,0,246,spam
0.063,0.02,0.122,0.08,0.594,0.063,0.006,0.432,0.189,1,33,spam
0.117,0.043,0.382,0.007,0.173,0.039,0.075,0.036,0.099,11,55,spam
0.215,0.268,0.049,0.004,2.429,0.053,0.071,0.074,0.099,1,40,ham
0.023,0.016,0.141,0.01,0.217,0.124,0.018,0.066,0.003,29,199,ham
0.25,0.1,0.676,0.069,0.055,0.073,0.02,0.554,0.138,8,102,spam
0.169,0.09,0.588,0.045,0.243,0.001,0.012,0.046,0.381,3,10,spam
0.386,0.013,0.23,0.039,0.077,0.256,0.084,0.036,0.064,7,69,spam
0.212,0.039,0.32,0.014,0.303,0.007,0.069,0.04,0.017,4,394,ham
0.033,0.083,0.039,0.02,0.831,0.279,0.047,0.262,0.377,4,318,spam
0.011,0.021,0.256,0.169,0.463,0.003,0.014,0.438,0.034,4,206,spam
0.012,0.161,0.192,0.014,0.096,0.147,0.009,0.1,0.053,5,18,ham
0.034,0.358,0.019,0.116,0.106,0.077,0.003,0.029,0.008,0,429,ham
0.095,0.024,0.024,0.043,0.022,0.07,0.002,0.176,0.012,5,153,ham
0.163,0.021,0.023,0.007,0.101,0.008,0.01,0.047,0.024,6,136,ham
0.23,0.061,0.258,0.031,0.029,0.027,0.005,0.013,0.08,2,544,ham
0.098,0.138,0.031,0.148,0.208,0.15,0.041,0.435,0.082,19,2,spam
0.001,0.033,0.126,0.027,0.37,0.222,0.022,0.409,0.093,1,162,spam
0.021,0.002,0.088,0.1,0.417,0.075,0.029,0.745,0.088,12,313,spam
0.011,0.078,0.16,0.015,0.018,0.044,0.045,0.128,0.068,6,13,ham
0.045,0.314,0.245,0.042,0.125,0.006,0.054,0.07,0.162,5,88,spam
0.07,0.05,0.231,0.093,0.102,0.115,0.052,0.294,0.272,10,759,spam
0.004,0.054,0.145,0.127,0.033,0.033,0.015,0.04,0.031,9,48,ham
0.043,0.347,0.125,0.033,0.135,0.006,0.083,0.056,0.014,2,152,ham
0.02,0.119,0.101,0.051,0.107,0.11,0.125,0.059,0.055,6,274,spam
0.104,0.127,0.396,0.0,0.302,0.066,0.019,0.606,0.003,0,99,spam
0.062,0.083,0.08,0.015,0.644,0.001,0.001,0.262,0.215,3,105,spam
0.068,0.367,0.06,0.016,0.182,0.012,0.115,0.029,0.027,14,13,spam
0.056,0.117,0.272,0.005,0.412,0.12,0.129,0.019,0.08,2,42,spam
0.312,0.225,0.089,0.016,0.047,0.007,0.003,0.37,0.012,0,425,spam
0.024,0.12,0.375,0.019,0.676,0.201,0.0,0.324,0.081,4,341,spam
0.073,0.133,0.079,0.173,0.05,0.037,0.085,0.222,0.004,2,73,spam
0.133,0.034,0.242,0.055,0.064,0.009,0.018,0.044,0.146,2,96,ham
0.081,0.036,0.009,0.028,0.034,0.143,0.123,0.131,0.311,4,116,spam
0.265,0.153,0.097,0.221,0.111,0.074,0.012,0.185,0.037,5,85,ham
0.047,0.035,0.084,0.008,0.241,0.037,0.099,0.538,0.03,3,212,spam
0.062,0.083,0.339,0.032,1.327,0.052,0.004,0.037,0.059,4,3,ham
0.009,0.029,0.683,0.052,0.473,0.002,0.015,0.145,0.097,25,424,spam
0.094,0.17,0.124,0.003,0.144,0.109,0.181,0.034,0.021,16,72,spam
0.034,0.012,0.348,0.063,0.257,0.046,0.013,0.117,0.163,6,412,ham
0.017,0.177,0.241,0.005,0.293,0.125,0.007,0.045,0.022,1,121,ham
0.079,0.092,0.685,0.008,0.519,0.099,0.097,0.362,0.001,2,300,spam
0.076,0.021,0.333,0.009,0.4,0.105,0.006,0.059,0.074,11,349,ham
0.008,0.078,0.016,0.132,0.253,0.157,0.005,0.108,0.012,3,72,ham
0.12,0.033,0.25,0.057,0.332,0.1,0.02,0.105,0.12,16,205,ham
0.098,0.039,0.153,0.053,0.411,0.054,0.05,0.402,0.018,3,187,spam
0.021,0.043,0.003,0.041,0.043,0.049,0.062,0.284,0.17,10,129,spam
0.063,0.007,0.058,0.017,0.067,0.013,0.107,0.012,0.064,0,127,ham
0.127,0.427,0.51,0.048,0.35,0.151,0.039,0.014,0.084,3,73,ham
0.075,0.003,0.521,0.026,0.57,0.143,0.025,0.16,0.021,6,74,ham
0.05,0.109,0.321,0.008,0.158,0.028,0.022,0.112,0.016,10,159,spam
0.039,0.046,0.801,0.058,1.172,0.199,0.094,0.064,0.1,5,7,spam
0.094,0.104,0.329,0.007,0.073,0.089,0.064,0.315,0.029,1,543,spam
0.28,0.044,0.002,0.011,0.162,0.065,0.118,0.028,0.049,11,210,ham
0.111,0.112,0.068,0.085,0.143,0.002,0.166,0.73,0.065,4,117,spam
0.008,0.131,0.006,0.054,0.799,0.048,0.018,0.005,0.026,1,13,ham
0.062,0.117,0.02,0.05,0.101,0.102,0.038,0.025,0.159,3,199,ham
0.221,0.012,0.049,0.027,0.191,0.009,0.05,0.075,0.28,6,4,spam
0.01,0.107,0.14,0.025,0.062,0.062,0.009,0.142,0.057,3,228,spam
0.45,0.033,0.376,0.059,0.221,0.503,0.003,0.049,0.25,10,15,ham
0.298,0.003,0.396,0.067,0.584,0.126,0.101,0.267,0.214,3,213,spam
0.008,0.054,0.192,0.036,0.109,0.079,0.038,0.088,0.018,4,104,ham
0.271,0.057,0.527,0.174,0.499,0.076,0.042,0.008,0.019,1,217,ham
0.045,0.063,0.139,0.156,0.727,0.004,0.04,0.42,0.065,4,30,spam
0.186,0.122,0.44,0.027,0.023,0.315,0.07,0.576,0.075,1,25,spam
0.054,0.037,0.121,0.086,0.424,0.263,0.008,0.193,0.042,1,57,ham
0.058,0.038,0.065,0.039,0.088,0.115,0.048,0.329,0.038,2,106,spam
0.101,0.006,0.496,0.036,0.058,0.01,0.032,0.026,0.056,0,58,ham
0.149,0.116,0.098,0.003,0.276,0.023,0.114,0.063,0.117,1,17,spam
0.003,0.084,0.14,0.043,0.367,0.02,0.037,0.079,0.009,3,79,ham
0.09,0.043,0.08,0.115,0.151,0.073,0.143,0.648,0.124,1,245,spam
0.021,0.122,0.217,0.076,0.012,0.023,0.022,0.144,0.261,1,175,spam
0.042,0.077,1.061,0.077,0.718,0.119,0.17,0.001,0.144,17,661,spam
0.043,0.063,0.005,0.009,0.394,0.079,0.104,0.096,0.021,3,115,ham
0.063,0.072,0.46,0.022,0.095,0.002,0.044,0.002,0.009,3,81,ham
0.041,0.101,0.001,0.013,0.206,0.136,0.022,0.054,0.067,2,237,ham
0.011,0.108,0.091,0.019,0.008,0.021,0.024,0.121,0.313,4,106,spam
0.016,0.034,0.037,0.043,0.124,0.174,0.074,0.078,0.171,5,193,spam
0.003,0.015,0.283,0.023,0.222,0.044,0.043,0.007,0.083,3,585,ham
0.064,0.017,0.01,0.041,0.218,0.041,0.026,0.025,0.015,3,138,ham
0.309,0.102,0.161,0.029,0.07,0.001,0.051,0.16,0.125,6,138,spam
0.012,0.206,0.07,0.017,0.45,0.44,0.066,0.238,0.168,15,298,spam
0.292,0.053,0.029,0.005,0.107,0.095,0.001,0.104,0.273,11,282,spam
0.132,0.019,0.296,0.111,0.261,0.055,0.005,0.263,0.095,1,145,spam
0.101,0.141,0.049,0.001,0.095,0.01,0.005,0.036,0.072,5,13,ham
0.104,0.179,0.051,0.0,0.166,0.12,0.013,0.026,0.097,0,790,ham
0.175,0.213,0.064,0.088,0.07,0.033,0.028,0.366,0.287,5,95,spam
0.011,0.093,0.177,0.287,0.301,0.445,0.081,0.083,0.099,3,76,ham
0.07,0.197,0.216,0.065,0.166,0.301,0.022,0.113,0.03,3,799,ham
0.119,0.002,0.004,0.001,0.005,0.133,0.001,0.59,0.101,4,411,spam
0.088,0.011,0.055,0.013,0.009,0.354,0.033,0.11,0.212,7,80,spam
0.179,0.01,0.113,0.178,0.191,0.011,0.285,0.001,0.084,7,74,spam
0.008,0.125,0.081,0.083,0.061,0.033,0.021,0.556,0.07,0,255,spam
0.117,0.007,0.431,0.042,0.264,0.029,0.163,0.003,0.132,7,81,spam
0.076,0.069,0.31,0.014,0.157,0.007,0.005,0.217,0.108,9,58,spam
0.048,0.064,0.197,0.001,0.319,0.358,0.01,0.078,0.006,0,779,ham
0.042,0.037,0.083,0.001,0.913,0.006,0.064,0.127,0.129,2,167,spam
0.097,0.204,0.241,0.047,0.226,0.194,0.035,0.158,0.052,8,288,spam
0.222,0.019,0.371,0.001,0.464,0.146,0.072,0.105,0.283,3,250,spam
0.069,0.043,0.181,0.253,0.42,0.047,0.1,0.298,0.353,6,282,spam
0.174,0.149,0.307,0.01,0.765,0.002,0.014,0.534,0.06,3,467,spam
0.051,0.003,0.277,0.062,0.072,0.001,0.057,0.018,0.347,19,139,spam
0.011,0.112,0.17,0.008,0.527,0.023,0.047,0.322,0.037,14,280,spam
0.006,0.169,0.075,0.039,0.708,0.068,0.099,0.028,0.115,2,319,ham
0.005,0.269,0.274,0.004,0.15,0.061,0.028,0.017,0.008,2,585,ham
0.048,0.209,0.046,0.073,0.113,0.088,0.003,0.624,0.016,3,250,spam
0.041,0.038,0.302,0.044,0.911,0.148,0.043,0.134,0.2,1,446,spam
0.127,0.088,0.326,0.005,0.296,0.047,0.16,0.033,0.224,3,20,spam
0.136,0.008,0.345,0.094,0.144,0.017,0.001,0.169,0.076,7,27,ham
0.005,0.03,0.128,0.04,0.471,0.161,0.014,0.061,0.042,9,34,ham
0.025,0.01,0.043,0.127,0.109,0.04,0.019,0.125,0.06,11,31,ham
0.032,0.038,0.021,0.124,0.058,0.034,0.073,0.196,0.204,0,18,spam
0.079,0.208,0.272,0.127,0.236,0.145,0.02,0.407,0.024,8,26,spam
0.016,0.043,0.435,0.004,0.251,0.272,0.014,0.001,0.035,3,1100,ham
0.014,0.083,0.21,0.006,0.524,0.246,0.052,0.048,0.154,1,64,ham
0.288,0.057,0.031,0.22,0.183,0.015,0.002,0.02,0.274,3,130,ham
0.163,0.061,0.546,0.033,0.506,0.07,0.009,0.02,0.01,9,345,ham
0.02,0.349,0.904,0.014,0.112,0.01,0.026,0.583,0.163,3,25,spam
0.052,0.035,0.114,0.073,0.257,0.324,0.022,0.55,0.104,23,76,spam
0.044,0.099,0.181,0.015,0.07,0.024,0.021,0.277,0.026,5,35,spam
0.157,0.054,0.3,0.065,0.146,0.022,0.006,0.206,0.141,3,13,spam
0.071,0.006,0.267,0.091,0.585,0.22,0.022,0.377,0.13,2,648,spam
0.014,0.067,0.687,0.077,0.073,0.344,0.08,0.012,0.015,0,391,ham
0.134,0.168,0.024,0.016,0.499,0.12,0.027,0.025,0.07,5,423,ham
0.051,0.01,0.174,0.026,0.1,0.013,0.044,0.076,0.142,4,406,ham
0.031,0.007,0.235,0.027,0.011,0.067,0.009,0.357,0.021,4,34,spam
0.047,0.017,0.442,0.034,0.035,0.17,0.004,0.128,0.062,4,307,ham
0.069,0.145,0.414,0.009,0.411,0.085,0.106,0.14,0.013,9,260,ham
0.042,0.129,0.763,0.03,0.091,0.014,0.02,0.052,0.037,2,519,ham
0.028,0.083,0.144,0.036,0.319,0.019,0.022,0.209,0.025,4,50,ham
0.051,0.063,0.355,0.038,0.36,0.2,0.105,0.438,0.07,6,107,spam
0.002,0.219,0.111,0.086,0.127,0.075,0.062,0.08,0.015,1,70,ham
0.148,0.146,0.11,0.036,0.193,0.122,0.071,0.193,0.048,13,60,spam
0.019,0.167,0.058,0.013,0.155,0.047,0.057,0.081,0.032,7,211,ham
0.004,0.168,0.341,0.054,0.883,0.076,0.006,0.315,0.137,0,36,spam
0.106,0.103,0.851,0.08,0.116,0.378,0.158,0.129,0.12,10,125,spam
0.149,0.061,0.059,0.019,0.061,0.04,0.12,0.083,0.01,13,208,spam
0.168,0.2,0.012,0.052,0.137,0.112,0.013,0.109,0.307,8,28,spam
0.068,0.26,0.338,0.008,0.332,0.019,0.081,0.019,0.137,3,59,spam
0.023,0.002,0.194,0.021,0.359,0.013,0.026,0.402,0.096,26,684,spam
0.134,0.005,0.642,0.12,0.773,0.153,0.058,0.634,0.065,1,317,spam
0.12,0.319,0.058,0.121,0.64,0.186,0.009,0.13,0.02,4,226,ham
0.028,0.032,0.015,0.043,0.102,0.11,0.039,0.05,0.327,1,388,spam
0.234,0.207,0.136,0.061,0.182,0.017,0.007,0.219,0.001,3,3,spam
0.011,0.049,0.018,0.096,0.413,0.028,0.038,0.12,0.118,13,1,spam
0.406,0.013,0.061,0.159,0.745,0.242,0.014,0.058,0.071,8,33,spam
0.197,0.008,0.027,0.034,0.123,0.034,0.03,0.008,0.233,8,137,ham
0.116,0.017,0.051,0.041,0.176,0.171,0.055,0.441,0.048,2,169,spam
0.279,0.029,0.022,0.027,0.689,0.034,0.105,0.319,0.073,14,24,spam
0.128,0.067,0.615,0.004,0.133,0.28,0.009,0.353,0.136,2,15,spam
0.021,0.121,0.065,0.027,0.196,0.246,0.112,0.116,0.005,0,352,spam
0.058,0.43,0.117,0.078,0.705,0.004,0.025,0.28,0.006,5,125,spam
0.007,0.058,0.458,0.082,0.486,0.147,0.093,0.174,0.024,2,978,spam
0.049,0.073,0.226,0.111,0.084,0.019,0.036,0.094,0.016,1,52,ham
0.135,0.074,0.192,0.003,0.118,0.024,0.099,0.37,0.001,14,208,spam
0.049,0.078,0.245,0.037,0.131,0.062,0.054,1.338,0.098,5,326,spam
0.04,0.073,0.353,0.006,0.732,0.086,0.036,0.459,0.159,14,412,spam
0.09,0.001,0.42,0.011,2.053,0.039,0.019,0.299,0.315,4,73,spam
0.206,0.0,0.206,0.115,0.446,0.086,0.174,0.275,0.058,0,43,spam
0.005,0.01,0.441,0.034,0.199,0.019,0.081,0.21,0.033,0,51,ham
0.049,0.011,0.153,0.071,0.003,0.002,0.024,0.384,0.199,12,220,spam
0.017,0.122,0.065,0.003,0.359,0.085,0.009,0.136,0.186,0,148,spam
0.119,0.023,0.424,0.027,0.148,0.073,0.076,0.04,0.098,5,183,spam
0.011,0.225,0.156,0.056,0.301,0.117,0.23,0.292,0.032,2,4,spam
0.109,0.264,0.473,0.007,0.28,0.105,0.016,0.504,0.239,6,99,spam
0.034,0.373,0.008,0.02,0.197,0.228,0.124,0.084,0.02,2,74,spam
0.022,0.28,0.101,0.003,0.867,0.062,0.007,0.306,0.004,0,399,spam
0.275,0.032,0.591,0.053,0.007,0.001,0.152,0.064,0.159,7,299,spam
0.002,0.071,0.057,0.177,0.374,0.1,0.068,0.572,0.083,2,112,spam
0.058,0.019,0.568,0.088,0.158,0.112,0.021,0.23,0.028,4,199,ham
0.002,0.164,0.615,0.184,0.375,0.074,0.018,0.168,0.111,7,10,spam
0.066,0.219,0.428,0.093,0.337,0.117,0.052,0.303,0.146,6,203,spam
0.07,0.191,0.166,0.097,0.003,0.039,0.045,0.336,0.186,2,20,spam
0.039,0.057,0.208,0.043,0.101,0.016,0.126,0.446,0.033,7,250,spam
0.014,0.142,0.407,0.037,0.063,0.109,0.073,0.463,0.003,13,171,spam
0.047,0.01,0.299,0.026,0.055,0.028,0.039,0.011,0.071,5,71,ham
0.112,0.004,0.199,0.085,0.391,0.061,0.131,0.026,0.194,6,93,spam
0.153,0.14,0.806,0.01,0.082,0.068,0.045,0.35,0.023,10,19,spam
0.076,0.055,0.231,0.003,0.193,0.065,0.095,0.584,0.055,9,78,spam
0.089,0.541,0.742,0.148,0.085,0.091,0.092,0.074,0.03,2,681,spam
0.022,0.01,0.012,0.0,0.26,0.003,0.126,0.002,0.001,24,133,ham
0.034,0.194,0.03,0.188,0.383,0.457,0.003,0.078,0.229,0,129,spam
0.018,0.065,0.12,0.065,0.121,0.126,0.044,0.097,0.015,22,198,ham
0.029,0.176,0.097,0.02,0.277,0.055,0.032,0.286,0.146,1,133,spam
0.025,0.17,0.305,0.06,0.523,0.021,0.034,0.01,0.043,3,88,ham
0.073,0.248,0.035,0.085,0.03,0.008,0.031,0.048,0.033,11,30,ham
0.083,0.035,0.747,0.014,0.372,0.112,0.091,0.449,0.283,1,199,spam
0.29,0.299,0.076,0.074,0.117,0.038,0.019,0.034,0.107,1,276,ham
0.022,0.016,0.112,0.082,0.039,0.026,0.031,0.285,0.116,5,513,spam
0.103,0.009,0.064,0.014,0.237,0.048,0.011,0.09,0.143,6,1,ham
0.17,0.056,0.173,0.002,0.077,0.09,0.014,0.217,0.042,0,14,ham
0.082,0.176,0.012,0.011,0.517,0.111,0.054,0.015,0.083,3,459,ham
0.029,0.064,0.032,0.011,0.013,0.104,0.006,0.068,0.032,3,199,ham
0.03,0.177,0.274,0.003,0.031,0.199,0.01,0.111,0.18,2,634,ham
0.004,0.131,0.041,0.065,0.221,0.025,0.038,0.389,0.091,4,113,spam
0.036,0.023,0.054,0.024,0.267,0.101,0.002,0.166,0.028,1,108,ham
0.136,0.297,0.315,0.108,0.393,0.011,0.007,0.009,0.23,2,84,ham
0.005,0.006,0.02,0.015,0.09,0.079,0.1,0.324,0.087,6,31,spam
0.025,0.229,0.115,0.03,0.553,0.088,0.094,0.011,0.068,10,95,spam
0.122,0.036,0.005,0.051,0.918,0.024,0.021,0.545,0.004,4,3,spam
0.153,0.069,0.085,0.105,0.207,0.05,0.021,0.048,0.241,0,142,spam
0.061,0.055,0.24,0.037,0.429,0.176,0.138,0.134,0.304,6,376,spam
0.12,0.019,0.019,0.023,0.223,0.016,0.001,0.015,0.083,11,77,ham
0.049,0.044,0.438,0.101,0.022,0.057,0.043,0.165,0.058,4,20,ham
0.017,0.021,0.48,0.019,0.118,0.27,0.045,0.138,0.045,3,728,ham
0.051,0.023,0.022,0.004,0.027,0.07,0.078,0.106,0.031,24,28,spam
0.087,0.021,0.936,0.029,1.35,0.129,0.152,0.007,0.085,5,150,ham
0.296,0.067,0.071,0.077,0.078,0.175,0.022,0.422,0.014,8,331,spam
0.007,0.16,0.018,0.002,0.303,0.023,0.029,0.325,0.252,5,58,spam
0.071,0.084,0.001,0.044,0.1,0.025,0.056,0.2,0.019,1,368,spam
0.04,0.224,0.105,0.045,0.318,0.142,0.171,0.17,0.137,2,163,spam
0.071,0.101,0.199,0.132,0.071,0.14,0.111,0.237,0.037,5,81,spam
0.002,0.117,0.081,0.017,0.462,0.006,0.055,0.031,0.026,3,402,ham
0.038,0.11,0.362,0.016,0.035,0.039,0.097,0.54,0.082,3,195,spam
0.171,0.06,0.252,0.029,0.677,0.051,0.004,0.067,0.145,0,191,ham
